,zipcode,Adjusted Gross Income,Number of returns,Single Returns,Joint Returns,Head of Household Returns,Elderly Returns (60+),borough,landuse_1.0,landuse_2.0,landuse_3.0,landuse_4.0,landuse_5.0,landuse_6.0,landuse_7.0,landuse_8.0,landuse_9.0,landuse_10.0,landuse_11.0,total_bldgarea
31,10005.0,"$50,000 - $74,999",800,740,30,30,30,MN,0.0,0.0,2480663.0,4624059.0,16668297.0,0.0,169425.0,66767.0,0.0,0.0,0.0,24009211.0
32,10005.0,"$75,000 -  $99,999",690,620,50,** ,20,MN,0.0,0.0,2480663.0,4624059.0,16668297.0,0.0,169425.0,66767.0,0.0,0.0,0.0,24009211.0
33,10005.0,"$100,000 - $199,999",1420,1090,230,40,80,MN,0.0,0.0,2480663.0,4624059.0,16668297.0,0.0,169425.0,66767.0,0.0,0.0,0.0,24009211.0
34,10005.0,"$200,000+",1670,680,880,50,200,MN,0.0,0.0,2480663.0,4624059.0,16668297.0,0.0,169425.0,66767.0,0.0,0.0,0.0,24009211.0
35,10006.0,total,"2,470","1,790",510,90,150,MN,0.0,0.0,2406484.0,1444708.0,7224839.0,0.0,0.0,237019.0,0.0,112000.0,0.0,11425050.0
36,10006.0,"< $25,000",310,260,20,** ,50,MN,0.0,0.0,2406484.0,1444708.0,7224839.0,0.0,0.0,237019.0,0.0,112000.0,0.0,11425050.0
37,10006.0,"$25,000 - $49,999",280,240,40,40,** ,MN,0.0,0.0,2406484.0,1444708.0,7224839.0,0.0,0.0,237019.0,0.0,112000.0,0.0,11425050.0
38,10006.0,"$50,000 - $74,999",340,300,** ,** ,30,MN,0.0,0.0,2406484.0,1444708.0,7224839.0,0.0,0.0,237019.0,0.0,112000.0,0.0,11425050.0
39,10006.0,"$75,000 -  $99,999",290,250,30,** ,** ,MN,0.0,0.0,2406484.0,1444708.0,7224839.0,0.0,0.0,237019.0,0.0,112000.0,0.0,11425050.0
40,10006.0,"$100,000 - $199,999",650,500,110,20,30,MN,0.0,0.0,2406484.0,1444708.0,7224839.0,0.0,0.0,237019.0,0.0,112000.0,0.0,11425050.0
41,10006.0,"$200,000+",600,240,310,30,40,MN,0.0,0.0,2406484.0,1444708.0,7224839.0,0.0,0.0,237019.0,0.0,112000.0,0.0,11425050.0
42,10007.0,total,"3,640","2,130","1,240",140,450,MN,11515.0,143925.0,2089811.0,7717460.0,24211477.0,0.0,6565.0,3230729.0,0.0,0.0,0.0,37411482.0
43,10007.0,"< $25,000",470,400,30,40,90,MN,11515.0,143925.0,2089811.0,7717460.0,24211477.0,0.0,6565.0,3230729.0,0.0,0.0,0.0,37411482.0
44,10007.0,"$25,000 - $49,999",330,270,30,** ,50,MN,11515.0,143925.0,2089811.0,7717460.0,24211477.0,0.0,6565.0,3230729.0,0.0,0.0,0.0,37411482.0
45,10007.0,"$50,000 - $74,999",310,260,20,30,30,MN,11515.0,143925.0,2089811.0,7717460.0,24211477.0,0.0,6565.0,3230729.0,0.0,0.0,0.0,37411482.0
46,10007.0,"$75,000 -  $99,999",250,190,30,** ,40,MN,11515.0,143925.0,2089811.0,7717460.0,24211477.0,0.0,6565.0,3230729.0,0.0,0.0,0.0,37411482.0
47,10007.0,"$100,000 - $199,999",610,440,120,30,80,MN,11515.0,143925.0,2089811.0,7717460.0,24211477.0,0.0,6565.0,3230729.0,0.0,0.0,0.0,37411482.0
48,10007.0,"$200,000+",1670,570,1010,40,160,MN,11515.0,143925.0,2089811.0,7717460.0,24211477.0,0.0,6565.0,3230729.0,0.0,0.0,0.0,37411482.0
49,10009.0,total,"32,690","23,370","5,090","3,470","6,020",MN,49533.0,4538287.0,7882403.0,16459467.0,169904.0,116582.0,175000.0,1778954.0,52703.0,3358.0,0.0,31226191.0
50,10009.0,"< $25,000",9180,6820,880,1310,1970,MN,49533.0,4538287.0,7882403.0,16459467.0,169904.0,116582.0,175000.0,1778954.0,52703.0,3358.0,0.0,31226191.0
51,10009.0,"$25,000 - $49,999",6530,4760,650,970,1050,MN,49533.0,4538287.0,7882403.0,16459467.0,169904.0,116582.0,175000.0,1778954.0,52703.0,3358.0,0.0,31226191.0
52,10009.0,"$50,000 - $74,999",5540,4380,490,550,890,MN,49533.0,4538287.0,7882403.0,16459467.0,169904.0,116582.0,175000.0,1778954.0,52703.0,3358.0,0.0,31226191.0
53,10009.0,"$75,000 -  $99,999",3690,2880,450,250,680,MN,49533.0,4538287.0,7882403.0,16459467.0,169904.0,116582.0,175000.0,1778954.0,52703.0,3358.0,0.0,31226191.0
54,10009.0,"$100,000 - $199,999",5350,3510,1380,290,1060,MN,49533.0,4538287.0,7882403.0,16459467.0,169904.0,116582.0,175000.0,1778954.0,52703.0,3358.0,0.0,31226191.0
55,10009.0,"$200,000+",2400,1020,1240,100,370,MN,49533.0,4538287.0,7882403.0,16459467.0,169904.0,116582.0,175000.0,1778954.0,52703.0,3358.0,0.0,31226191.0
56,10010.0,total,"17,540","12,730","3,700",680,"3,650",MN,35514.0,672590.0,7208438.0,14282773.0,16631743.0,4447.0,65745.0,5294529.0,20206.0,84013.0,0.0,44299998.0
57,10010.0,"< $25,000",2560,2200,160,140,710,MN,35514.0,672590.0,7208438.0,14282773.0,16631743.0,4447.0,65745.0,5294529.0,20206.0,84013.0,0.0,44299998.0
58,10010.0,"$25,000 - $49,999",2260,1870,180,150,440,MN,35514.0,672590.0,7208438.0,14282773.0,16631743.0,4447.0,65745.0,5294529.0,20206.0,84013.0,0.0,44299998.0
59,10010.0,"$50,000 - $74,999",2380,2040,180,100,440,MN,35514.0,672590.0,7208438.0,14282773.0,16631743.0,4447.0,65745.0,5294529.0,20206.0,84013.0,0.0,44299998.0
60,10010.0,"$75,000 -  $99,999",2010,1670,210,70,390,MN,35514.0,672590.0,7208438.0,14282773.0,16631743.0,4447.0,65745.0,5294529.0,20206.0,84013.0,0.0,44299998.0
61,10010.0,"$100,000 - $199,999",4130,3060,850,110,960,MN,35514.0,672590.0,7208438.0,14282773.0,16631743.0,4447.0,65745.0,5294529.0,20206.0,84013.0,0.0,44299998.0
