"ZIP
code",Adjusted Gross Income,Number of returns,Single Returns,Joint Returns,Head of Household Returns,Elderly Returns (60+)
10018,"$100,000 - $199,999",1270,960,220,40,120
10018,"$200,000+",1590,730,730,60,300
,,,,,,
10019,total,"25,750","18,350","5,160","1,430","4,680"
10019,"< $25,000",4900,3910,440,390,1260
10019,"$25,000 - $49,999",3690,2810,380,390,610
10019,"$50,000 - $74,999",3480,2830,330,200,520
10019,"$75,000 -  $99,999",2610,2100,300,120,420
10019,"$100,000 - $199,999",5620,4150,1120,190,850
10019,"$200,000+",5450,2550,2590,140,1020
,,,,,,
10021,total,"23,350","15,060","6,660",770,"7,340"
10021,"< $25,000",3230,2860,160,90,960
10021,"$25,000 - $49,999",2420,2090,160,80,620
10021,"$50,000 - $74,999",3040,2580,220,110,710
10021,"$75,000 -  $99,999",2470,2030,260,80,650
10021,"$100,000 - $199,999",4940,3280,1260,210,1660
10021,"$200,000+",7250,2220,4600,200,2740
,,,,,,
10022,total,"20,230","13,200","5,570",650,"6,560"
10022,"< $25,000",2760,2380,180,90,870
10022,"$25,000 - $49,999",2050,1740,140,90,570
10022,"$50,000 - $74,999",2410,2040,220,60,610
10022,"$75,000 -  $99,999",2010,1620,230,80,550
10022,"$100,000 - $199,999",4530,3120,1070,150,1490
10022,"$200,000+",6470,2300,3730,180,2470
,,,,,,
10023,total,"34,400","21,760","9,810","1,670","10,330"
10023,"< $25,000",5790,4830,370,380,1720
10023,"$25,000 - $49,999",3730,2910,350,350,1060
10023,"$50,000 - $74,999",3640,2910,360,220,1090
10023,"$75,000 -  $99,999",3250,2540,440,140,1030
10023,"$100,000 - $199,999",7690,5170,1980,270,2520
10023,"$200,000+",10300,3400,6310,310,2910
,,,,,,
10024,total,"30,540","18,220","9,780","1,630","9,170"
10024,"< $25,000",5520,4720,320,340,1510
10024,"$25,000 - $49,999",3470,2760,280,310,930
10024,"$50,000 - $74,999",3530,2770,390,230,960
10024,"$75,000 -  $99,999",2810,2080,460,160,880
10024,"$100,000 - $199,999",6190,3670,2030,270,2100
10024,"$200,000+",9020,2220,6300,320,2790
,,,,,,
10025,total,"45,880","28,250","11,590","4,760","13,030"
10025,"< $25,000",12180,9740,720,1460,2850
10025,"$25,000 - $49,999",7670,5490,650,1310,1730
10025,"$50,000 - $74,999",6150,4400,760,760,1630
10025,"$75,000 -  $99,999",4220,2890,800,390,1360
10025,"$100,000 - $199,999",7660,4030,2850,500,2890
10025,"$200,000+",8000,1700,5810,340,2570
,,,,,,
10026,total,"18,370","10,940","2,730","4,200","2,450"
10026,"< $25,000",6760,4570,380,1690,1030
10026,"$25,000 - $49,999",4410,2600,390,1300,510
10026,"$50,000 - $74,999",2620,1630,260,630,320
10026,"$75,000 -  $99,999",1440,880,220,270,200
10026,"$100,000 - $199,999",2020,990,720,240,270
10026,"$200,000+",1120,270,760,70,120
,,,,,,
10027,total,"27,760","16,980","4,180","6,000","4,220"
10027,"< $25,000",11270,7830,710,2570,1550
10027,"$25,000 - $49,999",6670,4040,600,1900,820
10027,"$50,000 - $74,999",3680,2270,440,840,550
10027,"$75,000 -  $99,999",1900,1150,370,320,340
10027,"$100,000 - $199,999",2630,1290,960,290,540
10027,"$200,000+",1610,400,1100,80,420
,,,,,,
10028,total,"25,540","16,600","7,230",910,"7,010"
10028,"< $25,000",3940,3480,220,120,1060
10028,"$25,000 - $49,999",2870,2430,240,100,630
10028,"$50,000 - $74,999",3540,3040,260,120,680
10028,"$75,000 -  $99,999",2980,2430,330,120,650
10028,"$100,000 - $199,999",5480,3620,1460,210,1670
10028,"$200,000+",6730,1600,4720,240,2320
,,,,,,
10029,total,"35,480","20,610","5,150","8,940","4,900"
10029,"< $25,000",16040,10220,1560,4050,2320
10029,"$25,000 - $49,999",9660,5250,1200,2990,1150
10029,"$50,000 - $74,999",4800,2780,670,1210,660
10029,"$75,000 -  $99,999",2050,1130,410,420,280
10029,"$100,000 - $199,999",2040,1000,730,230,320
10029,"$200,000+",890,230,580,40,170
,,,,,,
10030,total,"13,870","8,400","1,320","3,850","1,660"
