"ZIP
code",Adjusted Gross Income,Number of returns,Single Returns,Joint Returns,Head of Household Returns,Elderly Returns (60+)
10917,"$200,000+",100,** ,90,** ,30
,,,,,,
10918,total,"5,810","2,730","2,270",670,"1,320"
10918,"< $25,000",1570,1260,150,140,270
10918,"$25,000 - $49,999",980,610,180,160,190
10918,"$50,000 - $74,999",810,410,240,130,200
10918,"$75,000 -  $99,999",680,220,320,110,200
10918,"$100,000 - $199,999",1340,200,990,130,350
10918,"$200,000+",430,30,390,** ,110
,,,,,,
10919,total,610,290,260,70,170
10919,"< $25,000",190,150,** ,** ,40
10919,"$25,000 - $49,999",120,70,50,40,30
10919,"$50,000 - $74,999",70,30,30,30,30
10919,"$75,000 -  $99,999",70,40,40,** ,30
10919,"$100,000 - $199,999",130,** ,110,** ,40
10919,"$200,000+",30,** ,30,** ,** 
,,,,,,
10920,total,"4,560","2,170","1,850",430,"1,260"
10920,"< $25,000",1200,980,110,90,230
10920,"$25,000 - $49,999",720,460,150,100,180
10920,"$50,000 - $74,999",550,310,150,70,170
10920,"$75,000 -  $99,999",490,180,210,70,170
10920,"$100,000 - $199,999",1140,210,820,100,380
10920,"$200,000+",460,30,410,** ,130
,,,,,,
10921,total,"2,200","1,070",820,240,580
10921,"< $25,000",630,500,50,70,120
10921,"$25,000 - $49,999",370,230,70,60,100
10921,"$50,000 - $74,999",330,160,100,50,100
10921,"$75,000 -  $99,999",250,90,120,30,90
10921,"$100,000 - $199,999",500,90,380,30,140
10921,"$200,000+",120,** ,100,0,30
,,,,,,
10923,total,"4,900","2,400","1,460",920,"1,070"
10923,"< $25,000",1530,1140,130,240,230
10923,"$25,000 - $49,999",1070,580,170,290,210
10923,"$50,000 - $74,999",770,370,180,190,170
10923,"$75,000 -  $99,999",500,160,230,90,140
10923,"$100,000 - $199,999",850,150,580,110,270
10923,"$200,000+",180,** ,170,** ,50
,,,,,,
10924,total,"6,370","3,030","2,570",660,"1,730"
10924,"< $25,000",1750,1430,150,160,350
10924,"$25,000 - $49,999",1070,670,190,180,270
10924,"$50,000 - $74,999",860,460,250,120,290
10924,"$75,000 -  $99,999",600,210,290,80,210
10924,"$100,000 - $199,999",1450,220,1100,120,430
10924,"$200,000+",640,40,590,** ,180
,,,,,,
10925,total,"2,510","1,320",830,260,710
10925,"< $25,000",710,550,80,60,180
10925,"$25,000 - $49,999",470,300,80,60,120
10925,"$50,000 - $74,999",390,220,110,40,120
10925,"$75,000 -  $99,999",320,110,140,50,110
10925,"$100,000 - $199,999",500,140,320,50,150
10925,"$200,000+",120,** ,100,** ,30
,,,,,,
10926,total,"1,960",980,590,360,410
10926,"< $25,000",540,410,50,80,110
10926,"$25,000 - $49,999",410,230,70,100,60
10926,"$50,000 - $74,999",320,170,70,70,80
10926,"$75,000 -  $99,999",240,90,90,50,60
10926,"$100,000 - $199,999",350,80,220,60,80
10926,"$200,000+",100,** ,90,** ,20
,,,,,,
10927,total,"6,140","3,150","1,290","1,580","1,020"
10927,"< $25,000",2910,1890,270,710,370
10927,"$25,000 - $49,999",1660,700,360,560,220
10927,"$50,000 - $74,999",680,300,190,180,140
10927,"$75,000 -  $99,999",330,120,130,70,110
10927,"$100,000 - $199,999",450,120,260,60,130
10927,"$200,000+",110,20,80,** ,50
,,,,,,
10928,total,"2,260","1,220",640,380,520
10928,"< $25,000",760,580,60,120,130
10928,"$25,000 - $49,999",580,320,100,150,120
10928,"$50,000 - $74,999",350,180,110,60,90
10928,"$75,000 -  $99,999",220,80,110,50,60
10928,"$100,000 - $199,999",290,60,210,** ,100
10928,"$200,000+",60,** ,50,0,20
,,,,,,
10930,total,"4,390","1,950","1,810",520,940
10930,"< $25,000",1190,1000,100,90,150
10930,"$25,000 - $49,999",690,410,140,120,150
10930,"$50,000 - $74,999",520,250,150,90,140
10930,"$75,000 -  $99,999",450,130,220,80,120
10930,"$100,000 - $199,999",1120,140,820,140,280
10930,"$200,000+",420,20,380,** ,100
,,,,,,
10931,total,510,260,150,90,110
10931,"< $25,000",170,120,** ,30,30
10931,"$25,000 - $49,999",130,70,50,30,20
10931,"$50,000 - $74,999",70,30,20,30,30
10931,"$75,000 -  $99,999",60,40,20,** ,** 
10931,"$100,000 - $199,999",80,** ,60,** ,30
10931,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
10940,total,"24,810","12,000","6,820","5,440","4,950"
10940,"< $25,000",8820,6000,760,1920,1340
10940,"$25,000 - $49,999",6240,3180,1100,1810,1000
10940,"$50,000 - $74,999",3580,1530,1100,810,830
10940,"$75,000 -  $99,999",2330,690,1100,480,650
10940,"$100,000 - $199,999",3270,520,2290,400,930
10940,"$200,000+",570,80,470,20,200
,,,,,,
10941,total,"7,210","3,540","2,250","1,260","1,480"
10941,"< $25,000",2220,1670,210,320,380
10941,"$25,000 - $49,999",1720,950,300,420,310
10941,"$50,000 - $74,999",1160,520,310,280,260
10941,"$75,000 -  $99,999",740,230,370,120,190
10941,"$100,000 - $199,999",1120,170,830,120,280
10941,"$200,000+",250,** ,230,** ,60
,,,,,,
10950,total,"17,880","6,080","9,770","1,710","3,120"
10950,"< $25,000",6380,3140,2790,390,740
10950,"$25,000 - $49,999",3400,1290,1620,430,480
10950,"$50,000 - $74,999",2020,770,870,310,460
10950,"$75,000 -  $99,999",1520,400,820,240,410
10950,"$100,000 - $199,999",3380,430,2560,310,790
10950,"$200,000+",1180,50,1110,30,240
,,,,,,
10952,total,"12,620","3,560","8,000",860,"2,450"
10952,"< $25,000",5280,1990,2880,340,570
10952,"$25,000 - $49,999",2630,750,1540,270,360
10952,"$50,000 - $74,999",1220,340,750,110,280
10952,"$75,000 -  $99,999",820,180,570,60,240
10952,"$100,000 - $199,999",1560,220,1250,80,570
10952,"$200,000+",1110,80,1010,** ,430
,,,,,,
10954,total,"12,520","6,270","4,360","1,570","3,570"
10954,"< $25,000",3470,2680,340,390,800
10954,"$25,000 - $49,999",2280,1350,460,410,560
10954,"$50,000 - $74,999",1650,920,400,270,520
10954,"$75,000 -  $99,999",1340,600,500,180,490
10954,"$100,000 - $199,999",2750,630,1750,290,910
10954,"$200,000+",1030,90,910,30,290
,,,,,,
10956,total,"16,060","6,960","7,430","1,330","4,880"
10956,"< $25,000",3970,3330,360,230,690
10956,"$25,000 - $49,999",2150,1320,470,290,500
10956,"$50,000 - $74,999",1720,920,510,240,570
10956,"$75,000 -  $99,999",1450,570,620,210,550
10956,"$100,000 - $199,999",4060,670,2970,310,1610
10956,"$200,000+",2710,150,2500,50,960
,,,,,,
10958,total,"1,620",720,670,210,400
10958,"< $25,000",480,380,50,50,100
10958,"$25,000 - $49,999",300,150,70,70,60
10958,"$50,000 - $74,999",220,100,90,30,70
10958,"$75,000 -  $99,999",190,50,100,30,60
10958,"$100,000 - $199,999",340,40,270,30,110
10958,"$200,000+",90,** ,90,** ,** 
,,,,,,
10960,total,"7,800","4,230","2,370","1,000","2,300"
10960,"< $25,000",2210,1710,160,300,440
10960,"$25,000 - $49,999",1480,940,200,300,330
10960,"$50,000 - $74,999",1070,660,230,150,330
10960,"$75,000 -  $99,999",730,350,250,100,270
10960,"$100,000 - $199,999",1410,430,800,150,550
10960,"$200,000+",900,140,730,** ,380
,,,,,,
10962,total,"2,600","1,270","1,070",210,800
10962,"< $25,000",650,550,60,40,150
10962,"$25,000 - $49,999",380,270,60,40,110
10962,"$50,000 - $74,999",320,190,80,40,120
10962,"$75,000 -  $99,999",280,120,110,30,110
10962,"$100,000 - $199,999",590,100,430,60,190
10962,"$200,000+",380,40,330,** ,120
,,,,,,
10963,total,"1,240",550,510,170,280
10963,"< $25,000",380,270,50,60,80
10963,"$25,000 - $49,999",240,140,50,40,60
10963,"$50,000 - $74,999",200,80,90,30,40
10963,"$75,000 -  $99,999",130,30,70,40,30
10963,"$100,000 - $199,999",250,30,210,** ,70
10963,"$200,000+",40,** ,40,** ,** 
,,,,,,
10964,total,760,370,310,50,280
10964,"< $25,000",190,170,20,** ,40
10964,"$25,000 - $49,999",90,60,** ,30,30
10964,"$50,000 - $74,999",80,50,20,** ,30
10964,"$75,000 -  $99,999",70,40,20,** ,30
10964,"$100,000 - $199,999",150,30,100,20,70
10964,"$200,000+",180,20,150,** ,80
,,,,,,
10965,total,"8,020","3,940","3,390",530,"2,450"
10965,"< $25,000",1960,1650,180,110,440
10965,"$25,000 - $49,999",1150,780,230,120,350
10965,"$50,000 - $74,999",1040,650,250,100,360
10965,"$75,000 -  $99,999",810,380,340,60,320
10965,"$100,000 - $199,999",2070,400,1500,140,730
10965,"$200,000+",990,80,890,** ,250
,,,,,,
10968,total,"1,250",690,420,130,480
10968,"< $25,000",230,190,30,** ,60
10968,"$25,000 - $49,999",160,120,** ,50,50
10968,"$50,000 - $74,999",160,100,30,40,60
10968,"$75,000 -  $99,999",150,90,50,** ,60
10968,"$100,000 - $199,999",320,130,150,40,130
10968,"$200,000+",230,60,160,** ,120
,,,,,,
10969,total,620,310,260,60,180
10969,"< $25,000",190,140,30,20,50
10969,"$25,000 - $49,999",140,90,40,40,40
10969,"$50,000 - $74,999",80,60,30,** ,30
10969,"$75,000 -  $99,999",60,** ,40,** ,20
10969,"$100,000 - $199,999",120,20,90,** ,40
10969,"$200,000+",30,** ,30,0,** 
,,,,,,
10970,total,"5,350","2,540","1,850",810,"1,430"
10970,"< $25,000",1500,1090,190,190,300
10970,"$25,000 - $49,999",1080,580,240,240,200
10970,"$50,000 - $74,999",780,370,210,180,210
10970,"$75,000 -  $99,999",590,250,210,90,180
10970,"$100,000 - $199,999",1010,220,660,110,370
10970,"$200,000+",390,30,340,** ,170
,,,,,,
10973,total,"1,130",550,480,120,290
10973,"< $25,000",320,270,30,** ,60
10973,"$25,000 - $49,999",200,130,40,50,40
10973,"$50,000 - $74,999",160,70,60,30,50
10973,"$75,000 -  $99,999",140,40,80,40,50
10973,"$100,000 - $199,999",240,40,200,** ,90
10973,"$200,000+",70,** ,70,** ,** 
,,,,,,
10974,total,"1,590",760,630,150,390
10974,"< $25,000",440,370,30,40,80
10974,"$25,000 - $49,999",280,160,70,40,60
10974,"$50,000 - $74,999",250,110,80,50,70
10974,"$75,000 -  $99,999",160,60,80,** ,50
10974,"$100,000 - $199,999",350,60,270,20,110
10974,"$200,000+",110,** ,100,** ,20
,,,,,,
10975,total,160,100,40,20,50
10975,"< $25,000",50,40,** ,20,** 
10975,"$25,000 - $49,999",40,30,** ,** ,50
10975,"$50,000 - $74,999",50,30,40,** ,** 
10975,"$75,000 -  $99,999",** ,** ,** ,** ,** 
10975,"$100,000 - $199,999",20,** ,** ,** ,** 
10975,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
10976,total,860,520,270,60,310
10976,"< $25,000",310,270,20,30,130
10976,"$25,000 - $49,999",160,120,30,** ,50
10976,"$50,000 - $74,999",110,60,40,30,40
10976,"$75,000 -  $99,999",70,30,30,** ,30
10976,"$100,000 - $199,999",130,40,80,** ,60
10976,"$200,000+",80,** ,70,** ,** 
,,,,,,
10977,total,"24,460","10,160","9,480","4,370","4,200"
10977,"< $25,000",10800,5870,3050,1760,1240
10977,"$25,000 - $49,999",6310,2480,2180,1540,860
10977,"$50,000 - $74,999",2670,950,1070,550,620
10977,"$75,000 -  $99,999",1540,410,820,250,470
10977,"$100,000 - $199,999",2310,400,1610,270,790
10977,"$200,000+",830,50,750,** ,220
,,,,,,
10980,total,"7,110","3,480","2,640",820,"1,930"
10980,"< $25,000",2010,1670,140,170,380
10980,"$25,000 - $49,999",1240,760,210,210,320
10980,"$50,000 - $74,999",960,530,250,160,300
10980,"$75,000 -  $99,999",710,250,330,110,260
10980,"$100,000 - $199,999",1590,240,1160,170,520
10980,"$200,000+",600,30,550,** ,150
,,,,,,
10983,total,"2,980","1,360","1,340",220,920
10983,"< $25,000",720,620,60,30,150
10983,"$25,000 - $49,999",400,230,110,50,120
10983,"$50,000 - $74,999",330,210,80,30,120
10983,"$75,000 -  $99,999",300,130,130,30,120
10983,"$100,000 - $199,999",810,140,580,80,290
10983,"$200,000+",420,30,380,** ,120
,,,,,,
10984,total,"1,330",600,540,170,380
10984,"< $25,000",340,280,** ,30,60
10984,"$25,000 - $49,999",210,120,70,40,50
10984,"$50,000 - $74,999",180,90,50,40,60
10984,"$75,000 -  $99,999",150,50,60,30,50
10984,"$100,000 - $199,999",340,60,260,30,120
10984,"$200,000+",110,** ,100,** ,40
,,,,,,
10985,total,160,70,70,20,50
10985,"< $25,000",40,30,** ,20,20
10985,"$25,000 - $49,999",40,40,** ,** ,** 
10985,"$50,000 - $74,999",40,** ,40,** ,30
10985,"$75,000 -  $99,999",** ,** ,** ,** ,** 
10985,"$100,000 - $199,999",40,** ,30,** ,** 
10985,"$200,000+",** ,** ,** ,** ,** 
,,,,,,
10986,total,970,470,380,100,280
10986,"< $25,000",260,220,40,** ,50
10986,"$25,000 - $49,999",160,110,** ,50,40
10986,"$50,000 - $74,999",130,60,40,30,40
10986,"$75,000 -  $99,999",90,30,40,** ,30
10986,"$100,000 - $199,999",220,50,160,20,80
10986,"$200,000+",110,** ,100,** ,40
,,,,,,
10987,total,"1,870",850,880,110,580
10987,"< $25,000",620,420,170,40,110
10987,"$25,000 - $49,999",230,150,50,** ,60
10987,"$50,000 - $74,999",210,110,70,40,70
10987,"$75,000 -  $99,999",150,60,70,** ,70
10987,"$100,000 - $199,999",370,90,260,30,150
10987,"$200,000+",290,20,260,** ,120
,,,,,,
10989,total,"5,020","2,550","1,930",430,"1,640"
10989,"< $25,000",1190,970,120,80,330
10989,"$25,000 - $49,999",770,510,140,90,210
10989,"$50,000 - $74,999",740,430,190,90,250
10989,"$75,000 -  $99,999",580,300,200,70,230
10989,"$100,000 - $199,999",1240,280,850,100,440
10989,"$200,000+",500,60,430,** ,180
,,,,,,
10990,total,"9,930","4,560","4,300",870,"3,090"
10990,"< $25,000",2720,2250,250,190,660
10990,"$25,000 - $49,999",1580,970,340,230,480
10990,"$50,000 - $74,999",1230,620,400,160,460
10990,"$75,000 -  $99,999",1020,310,560,120,410
10990,"$100,000 - $199,999",2350,340,1820,150,790
10990,"$200,000+",1030,70,930,20,290
,,,,,,
10992,total,"4,800","2,260","1,870",580,"1,140"
10992,"< $25,000",1300,1090,90,110,220
10992,"$25,000 - $49,999",850,550,120,160,190
10992,"$50,000 - $74,999",620,300,180,120,170
10992,"$75,000 -  $99,999",540,150,280,90,160
10992,"$100,000 - $199,999",1170,170,900,100,330
10992,"$200,000+",320,** ,300,** ,70
,,,,,,
10993,total,"2,580","1,360",610,560,540
10993,"< $25,000",1010,750,90,160,210
10993,"$25,000 - $49,999",690,340,120,210,120
10993,"$50,000 - $74,999",380,160,90,110,80
10993,"$75,000 -  $99,999",190,60,90,40,50
10993,"$100,000 - $199,999",290,50,200,40,80
10993,"$200,000+",20,0,20,0,** 
,,,,,,
10994,total,"3,830","1,770","1,740",250,"1,200"
10994,"< $25,000",910,790,80,40,170
10994,"$25,000 - $49,999",500,320,110,50,150
10994,"$50,000 - $74,999",440,250,130,40,150
10994,"$75,000 -  $99,999",390,170,160,50,150
10994,"$100,000 - $199,999",940,190,680,70,370
10994,"$200,000+",650,50,580,** ,210
,,,,,,
10996,total,"1,160",480,630,40,40
10996,"< $25,000",360,350,** ,** ,** 
10996,"$25,000 - $49,999",110,60,40,** ,** 
10996,"$50,000 - $74,999",150,20,110,40,** 
10996,"$75,000 -  $99,999",200,20,170,** ,** 
10996,"$100,000 - $199,999",290,30,260,** ,40
10996,"$200,000+",50,** ,50,0,** 
,,,,,,
10998,total,"1,600",670,720,150,330
10998,"< $25,000",420,340,40,30,60
10998,"$25,000 - $49,999",290,160,60,50,60
10998,"$50,000 - $74,999",200,90,70,30,50
10998,"$75,000 -  $99,999",200,40,120,20,60
10998,"$100,000 - $199,999",390,40,330,20,80
10998,"$200,000+",100,** ,100,** ,20
,,,,,,
11001,total,"14,090","6,650","5,790","1,320","3,790"
11001,"< $25,000",3830,3000,470,310,800
11001,"$25,000 - $49,999",2360,1400,600,310,560
11001,"$50,000 - $74,999",1830,990,500,250,530
11001,"$75,000 -  $99,999",1490,580,650,190,490
11001,"$100,000 - $199,999",3160,580,2290,230,1070
11001,"$200,000+",1420,100,1280,30,340
,,,,,,
11003,total,"24,370","11,630","5,910","6,220","4,940"
11003,"< $25,000",8060,5540,910,1490,1400
11003,"$25,000 - $49,999",6270,3040,1060,2020,1060
11003,"$50,000 - $74,999",3920,1640,890,1230,840
11003,"$75,000 -  $99,999",2410,740,840,750,620
11003,"$100,000 - $199,999",3240,610,1840,690,880
11003,"$200,000+",470,60,370,40,140
,,,,,,
11004,total,"6,910","3,450","2,620",670,"2,140"
11004,"< $25,000",2010,1410,400,160,600
11004,"$25,000 - $49,999",1310,710,400,170,360
11004,"$50,000 - $74,999",1110,610,340,130,340
11004,"$75,000 -  $99,999",840,370,320,110,280
11004,"$100,000 - $199,999",1350,300,920,100,450
11004,"$200,000+",290,50,240,** ,110
,,,,,,
11005,total,"1,470","1,020",400,0,"1,330"
11005,"< $25,000",200,160,40,0,170
11005,"$25,000 - $49,999",140,120,** ,0,120
11005,"$50,000 - $74,999",170,140,20,0,150
11005,"$75,000 -  $99,999",200,160,30,0,180
11005,"$100,000 - $199,999",470,310,150,0,440
11005,"$200,000+",290,130,160,0,270
,,,,,,
11010,total,"12,830","6,330","4,920","1,300","3,570"
11010,"< $25,000",3370,2650,390,280,850
11010,"$25,000 - $49,999",2380,1490,490,350,640
11010,"$50,000 - $74,999",1950,1070,560,250,600
11010,"$75,000 -  $99,999",1450,540,660,200,470
11010,"$100,000 - $199,999",2950,520,2170,220,820
11010,"$200,000+",730,60,650,** ,190
,,,,,,
11020,total,"3,040","1,280","1,400",300,870
11020,"< $25,000",880,670,100,100,140
11020,"$25,000 - $49,999",420,220,110,80,80
11020,"$50,000 - $74,999",270,140,90,30,70
11020,"$75,000 -  $99,999",200,80,90,30,70
11020,"$100,000 - $199,999",510,100,350,40,220
11020,"$200,000+",760,70,660,20,290
,,,,,,
11021,total,"9,330","4,700","3,730",650,"3,240"
11021,"< $25,000",2100,1650,260,150,560
11021,"$25,000 - $49,999",1270,760,310,140,430
11021,"$50,000 - $74,999",1100,710,250,100,340
11021,"$75,000 -  $99,999",960,540,300,80,360
11021,"$100,000 - $199,999",1910,760,970,130,800
11021,"$200,000+",1990,280,1640,50,750
,,,,,,
11023,total,"4,090","1,710","2,050",240,"1,280"
11023,"< $25,000",1020,800,140,60,210
11023,"$25,000 - $49,999",500,270,170,40,130
11023,"$50,000 - $74,999",450,210,190,40,140
11023,"$75,000 -  $99,999",330,140,150,30,100
11023,"$100,000 - $199,999",800,190,540,50,320
11023,"$200,000+",990,100,860,20,380
,,,,,,
11024,total,"3,180","1,420","1,520",170,990
11024,"< $25,000",880,680,120,60,150
11024,"$25,000 - $49,999",450,260,150,30,90
11024,"$50,000 - $74,999",310,160,120,40,80
11024,"$75,000 -  $99,999",210,80,100,** ,80
11024,"$100,000 - $199,999",520,140,350,40,200
11024,"$200,000+",810,100,680,** ,390
,,,,,,
11030,total,"8,670","3,680","4,430",380,"2,740"
11030,"< $25,000",1830,1630,120,60,270
11030,"$25,000 - $49,999",780,540,150,70,170
11030,"$50,000 - $74,999",680,450,150,50,180
11030,"$75,000 -  $99,999",540,300,190,30,230
11030,"$100,000 - $199,999",1410,480,800,80,670
11030,"$200,000+",3430,280,3020,90,1220
,,,,,,
11040,total,"21,640","9,740","9,870","1,550","6,460"
11040,"< $25,000",5450,4220,840,310,1310
11040,"$25,000 - $49,999",3400,2020,920,380,910
11040,"$50,000 - $74,999",2750,1510,880,270,870
11040,"$75,000 -  $99,999",2220,880,1030,230,810
11040,"$100,000 - $199,999",5280,920,3930,310,1810
11040,"$200,000+",2540,190,2270,50,750
,,,,,,
11050,total,"15,210","7,060","6,610","1,200","4,780"
11050,"< $25,000",3940,3160,370,340,810
11050,"$25,000 - $49,999",2120,1270,490,300,560
11050,"$50,000 - $74,999",1530,890,430,160,510
11050,"$75,000 -  $99,999",1200,590,450,120,460
11050,"$100,000 - $199,999",2790,800,1720,200,1250
11050,"$200,000+",3630,350,3150,80,1190
,,,,,,
11096,total,"4,010","1,970",980,980,630
11096,"< $25,000",1810,1170,220,410,250
11096,"$25,000 - $49,999",1040,450,250,310,140
11096,"$50,000 - $74,999",510,200,150,140,90
11096,"$75,000 -  $99,999",300,90,130,70,70
11096,"$100,000 - $199,999",300,60,190,50,80
11096,"$200,000+",50,** ,40,** ,** 
,,,,,,
11101,total,"20,950","13,050","4,750","2,550","1,850"
11101,"< $25,000",5940,3970,760,1080,870
11101,"$25,000 - $49,999",3870,2390,580,810,340
11101,"$50,000 - $74,999",3160,2280,430,310,250
11101,"$75,000 -  $99,999",2170,1540,400,140,140
11101,"$100,000 - $199,999",3790,2270,1250,160,170
11101,"$200,000+",2020,600,1330,50,80
,,,,,,
11102,total,"19,370","12,130","4,360","2,310","2,500"
11102,"< $25,000",6520,4340,1020,1000,1140
11102,"$25,000 - $49,999",4480,2860,820,670,510
11102,"$50,000 - $74,999",3330,2300,590,330,330
11102,"$75,000 -  $99,999",2030,1370,430,150,190
11102,"$100,000 - $199,999",2450,1130,1100,140,270
11102,"$200,000+",560,130,400,20,60
,,,,,,
11103,total,"20,860","13,700","4,870","1,790","2,860"
11103,"< $25,000",6800,4820,1160,670,1220
11103,"$25,000 - $49,999",4970,3380,960,510,570
11103,"$50,000 - $74,999",4110,2950,710,340,450
11103,"$75,000 -  $99,999",2180,1370,610,150,290
11103,"$100,000 - $199,999",2320,1060,1090,120,270
11103,"$200,000+",480,120,340,** ,60
,,,,,,
11104,total,"15,170","8,820","4,380","1,530","2,720"
11104,"< $25,000",5050,3410,960,560,1150
11104,"$25,000 - $49,999",3410,2000,880,440,520
11104,"$50,000 - $74,999",2580,1630,550,290,370
11104,"$75,000 -  $99,999",1670,920,550,120,290
11104,"$100,000 - $199,999",1960,740,1070,120,320
11104,"$200,000+",500,120,370,** ,70
,,,,,,
11105,total,"19,590","12,090","5,350","1,590","3,340"
11105,"< $25,000",6110,4360,1120,480,1430
11105,"$25,000 - $49,999",4440,2990,890,450,630
11105,"$50,000 - $74,999",3580,2460,670,320,470
11105,"$75,000 -  $99,999",2060,1200,600,160,300
11105,"$100,000 - $199,999",2660,940,1500,150,390
11105,"$200,000+",740,140,570,30,120
,,,,,,
11106,total,"22,030","13,970","5,070","2,450","3,420"
11106,"< $25,000",7350,4950,1230,1020,1470
11106,"$25,000 - $49,999",4970,3250,900,710,660
11106,"$50,000 - $74,999",4020,2780,720,390,510
11106,"$75,000 -  $99,999",2270,1480,540,170,300
11106,"$100,000 - $199,999",2820,1360,1250,160,400
11106,"$200,000+",600,150,430,** ,80
,,,,,,
11109,total,"3,590","2,180","1,130",130,220
11109,"< $25,000",330,270,30,30,30
11109,"$25,000 - $49,999",310,250,30,** ,30
11109,"$50,000 - $74,999",400,340,30,30,** 
11109,"$75,000 -  $99,999",390,320,40,** ,20
11109,"$100,000 - $199,999",1080,700,280,40,70
11109,"$200,000+",1080,300,720,30,70
,,,,,,
11201,total,"33,550","20,950","9,290","2,350","5,200"
11201,"< $25,000",5920,4480,570,740,1120
11201,"$25,000 - $49,999",4110,2980,440,570,680
11201,"$50,000 - $74,999",4260,3410,380,320,640
11201,"$75,000 -  $99,999",3560,2800,420,200,540
11201,"$100,000 - $199,999",7880,5110,2210,290,1180
11201,"$200,000+",7820,2170,5270,230,1040
,,,,,,
11203,total,"38,170","19,000","5,390","12,800","8,850"
11203,"< $25,000",15290,9790,1200,4040,3470
11203,"$25,000 - $49,999",11470,5130,1310,4720,2460
11203,"$50,000 - $74,999",5910,2400,950,2330,1410
11203,"$75,000 -  $99,999",2790,990,740,970,700
11203,"$100,000 - $199,999",2480,650,1040,710,740
11203,"$200,000+",230,40,150,30,70
,,,,,,
11204,total,"33,780","14,440","14,620","4,170","6,740"
11204,"< $25,000",16290,8520,5470,2060,3270
11204,"$25,000 - $49,999",8160,3020,3830,1170,1290
11204,"$50,000 - $74,999",3660,1610,1470,500,750
11204,"$75,000 -  $99,999",2030,660,1090,230,480
11204,"$100,000 - $199,999",2710,530,1950,210,670
11204,"$200,000+",930,100,810,** ,280
,,,,,,
11205,total,"19,260","10,850","4,830","3,150","2,050"
11205,"< $25,000",6840,3990,1490,1250,740
11205,"$25,000 - $49,999",4300,2440,810,950,450
11205,"$50,000 - $74,999",2790,1870,380,480,310
11205,"$75,000 -  $99,999",1680,1070,350,200,220
11205,"$100,000 - $199,999",2490,1220,960,220,250
11205,"$200,000+",1160,260,840,50,80
,,,,,,
11206,total,"37,300","21,940","6,610","8,170","3,540"
11206,"< $25,000",16770,9940,2760,3850,1930
11206,"$25,000 - $49,999",10480,5940,1600,2790,850
11206,"$50,000 - $74,999",5280,3430,780,970,430
11206,"$75,000 -  $99,999",2240,1400,450,340,170
11206,"$100,000 - $199,999",2090,1090,740,220,130
11206,"$200,000+",440,140,280,** ,30
,,,,,,
11207,total,"44,570","22,980","5,120","15,720","5,950"
11207,"< $25,000",21730,13130,1500,6840,2730
11207,"$25,000 - $49,999",13080,6030,1430,5410,1570
11207,"$50,000 - $74,999",5470,2360,820,2140,870
11207,"$75,000 -  $99,999",2250,820,570,790,380
11207,"$100,000 - $199,999",1880,590,710,540,360
11207,"$200,000+",160,50,90,** ,40
,,,,,,
11208,total,"44,930","21,070","7,490","15,670","5,920"
11208,"< $25,000",23050,13090,2810,6890,2940
11208,"$25,000 - $49,999",12990,5150,2140,5470,1500
11208,"$50,000 - $74,999",5220,1840,1140,2100,820
11208,"$75,000 -  $99,999",2020,620,620,730,350
11208,"$100,000 - $199,999",1560,370,720,480,310
11208,"$200,000+",90,** ,60,** ,** 
,,,,,,
11209,total,"34,340","18,770","10,920","3,710","8,270"
11209,"< $25,000",10630,7170,2130,1110,2490
11209,"$25,000 - $49,999",6540,3860,1570,940,1380
11209,"$50,000 - $74,999",5430,3370,1200,680,1250
11209,"$75,000 -  $99,999",3930,2100,1220,430,940
11209,"$100,000 - $199,999",5700,1940,3130,470,1600
11209,"$200,000+",2110,330,1670,80,610
,,,,,,
11210,total,"29,650","14,000","6,860","7,980","6,730"
11210,"< $25,000",11050,7110,1180,2540,2180
11210,"$25,000 - $49,999",7790,3450,1280,2830,1480
11210,"$50,000 - $74,999",4330,1830,910,1430,1070
11210,"$75,000 -  $99,999",2340,820,750,680,610
11210,"$100,000 - $199,999",2840,690,1600,460,930
11210,"$200,000+",1300,100,1140,40,460
,,,,,,
11211,total,"31,170","20,540","6,940","3,060","2,720"
11211,"< $25,000",9730,5930,2400,1260,1390
11211,"$25,000 - $49,999",6540,4290,1110,1010,510
11211,"$50,000 - $74,999",5110,3970,580,430,300
11211,"$75,000 -  $99,999",3210,2500,450,160,170
11211,"$100,000 - $199,999",4520,3000,1280,140,250
11211,"$200,000+",2060,850,1120,60,100
,,,,,,
11212,total,"38,960","18,680","3,960","15,540","6,010"
11212,"< $25,000",19850,11410,1170,6990,2760
11212,"$25,000 - $49,999",11380,4660,1150,5330,1700
11212,"$50,000 - $74,999",4650,1720,730,2050,860
11212,"$75,000 -  $99,999",1770,560,420,720,380
11212,"$100,000 - $199,999",1240,330,460,430,280
11212,"$200,000+",70,** ,30,20,30
,,,,,,
11213,total,"30,170","16,520","4,550","8,480","4,620"
11213,"< $25,000",13170,8380,1230,3370,2020
11213,"$25,000 - $49,999",8650,4470,1070,2930,1140
11213,"$50,000 - $74,999",4380,2260,680,1310,670
11213,"$75,000 -  $99,999",1920,830,510,520,350
11213,"$100,000 - $199,999",1700,520,790,350,370
11213,"$200,000+",350,60,270,** ,70
,,,,,,
11214,total,"41,290","19,170","15,480","5,890","8,520"
