zipcode,borough,landuse_1.0,landuse_2.0,landuse_3.0,landuse_4.0,landuse_5.0,landuse_6.0,landuse_7.0,landuse_8.0,landuse_9.0,landuse_10.0,landuse_11.0,total_bldgarea
10075.0,MN,694659.0,1728373.0,13007949.0,5851410.0,520748.0,0.0,0.0,816126.0,10800.0,103886.0,0.0,22733951.0
10103.0,MN,0.0,0.0,0.0,301486.0,1246882.0,0.0,0.0,30805.0,0.0,0.0,0.0,1579173.0
10105.0,MN,0.0,0.0,0.0,0.0,1954478.0,0.0,0.0,0.0,0.0,0.0,0.0,1954478.0
10106.0,MN,0.0,0.0,0.0,0.0,991141.0,0.0,0.0,0.0,0.0,0.0,0.0,991141.0
10110.0,MN,0.0,0.0,0.0,0.0,659122.0,0.0,0.0,0.0,0.0,0.0,0.0,659122.0
10118.0,MN,0.0,0.0,0.0,0.0,2948309.0,0.0,0.0,0.0,0.0,0.0,0.0,2948309.0
10119.0,MN,0.0,0.0,0.0,0.0,1899211.0,0.0,0.0,0.0,0.0,0.0,0.0,1899211.0
10120.0,MN,0.0,0.0,0.0,0.0,53115.0,0.0,0.0,0.0,0.0,0.0,0.0,53115.0
10121.0,MN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10122.0,MN,0.0,0.0,0.0,0.0,461386.0,0.0,0.0,0.0,0.0,0.0,0.0,461386.0
10123.0,MN,0.0,0.0,0.0,0.0,497210.0,0.0,0.0,0.0,0.0,0.0,0.0,497210.0
10128.0,MN,1072454.0,3929719.0,20155275.0,15615542.0,797772.0,127858.0,63520.0,2779130.0,800.0,193232.0,0.0,44735302.0
10151.0,MN,0.0,0.0,0.0,0.0,459340.0,0.0,0.0,0.0,0.0,0.0,0.0,459340.0
10152.0,MN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10155.0,MN,0.0,0.0,0.0,0.0,590853.0,0.0,0.0,0.0,0.0,0.0,0.0,590853.0
10158.0,MN,0.0,0.0,0.0,0.0,898734.0,0.0,0.0,0.0,0.0,0.0,0.0,898734.0
10165.0,MN,0.0,0.0,0.0,0.0,1150564.0,0.0,0.0,0.0,0.0,0.0,0.0,1150564.0
10169.0,MN,0.0,0.0,0.0,0.0,1212596.0,0.0,0.0,0.0,0.0,0.0,0.0,1212596.0
10170.0,MN,0.0,0.0,0.0,0.0,1044054.0,0.0,0.0,0.0,0.0,0.0,0.0,1044054.0
10175.0,MN,0.0,0.0,0.0,0.0,408911.0,0.0,0.0,0.0,0.0,0.0,0.0,408911.0
10176.0,MN,0.0,0.0,0.0,0.0,427158.0,0.0,0.0,0.0,0.0,0.0,0.0,427158.0
10271.0,MN,0.0,0.0,0.0,0.0,1736513.0,0.0,0.0,0.0,0.0,0.0,0.0,1736513.0
10278.0,MN,0.0,0.0,0.0,0.0,2559294.0,0.0,0.0,0.0,0.0,0.0,0.0,2559294.0
10280.0,MN,0.0,0.0,593214.0,4126012.0,2267925.0,0.0,0.0,248182.0,0.0,0.0,0.0,7235333.0
10281.0,MN,0.0,0.0,0.0,0.0,5819649.0,0.0,0.0,0.0,0.0,0.0,0.0,5819649.0
10282.0,MN,0.0,0.0,1764981.0,1775223.0,3288062.0,0.0,0.0,555177.0,0.0,0.0,0.0,7383443.0
10301.0,SI,11332760.0,2519167.0,4099259.0,1384096.0,2033448.0,1091352.0,461767.0,4192239.0,371143.0,198412.0,1455.0,27685098.0
10302.0,SI,5828516.0,571808.0,93046.0,574046.0,994500.0,338868.0,257087.0,978335.0,18810.0,61939.0,0.0,9716955.0
10303.0,SI,6725293.0,955029.0,1206814.0,219971.0,1519327.0,2244174.0,473862.0,574268.0,4600.0,5600.0,1132.0,13930070.0
10304.0,SI,14295900.0,1901311.0,3222559.0,1453740.0,1082008.0,433761.0,70512.0,2457369.0,71487.0,31675.0,5100.0,25025422.0
10305.0,SI,13936158.0,1642854.0,1423879.0,719508.0,1659239.0,490078.0,154337.0,2453904.0,370206.0,7525.0,0.0,22857688.0
10306.0,SI,23236087.0,1325791.0,1775599.0,533761.0,2226604.0,95616.0,371115.0,2220559.0,106023.0,7116.0,1636.0,31899907.0
10307.0,SI,8330500.0,191537.0,0.0,244790.0,263247.0,113159.0,10650.0,438091.0,38549.0,3293.0,0.0,9633816.0
10308.0,SI,12473697.0,767222.0,0.0,231939.0,510799.0,16350.0,22537.0,1063967.0,47581.0,4340.0,0.0,15138432.0
10309.0,SI,17998839.0,880726.0,0.0,187072.0,2487290.0,1432092.0,495472.0,1938867.0,117258.0,44829.0,5888.0,25588333.0
10310.0,SI,8535288.0,956433.0,637165.0,577025.0,557730.0,384537.0,328309.0,2070481.0,83692.0,13100.0,0.0,14143760.0
10312.0,SI,32271706.0,925710.0,0.0,337536.0,837817.0,82760.0,72852.0,1263772.0,21355.0,200.0,0.0,35813708.0
10314.0,SI,33406669.0,5539148.0,1526833.0,717605.0,7239510.0,2762716.0,319430.0,5585405.0,275516.0,319908.0,0.0,57692740.0
10451.0,BX,253381.0,2109757.0,10827239.0,8821290.0,4403034.0,2889784.0,965155.0,6772127.0,1321141.0,1560789.0,0.0,39923697.0
10452.0,BX,683516.0,6357400.0,13349547.0,7756448.0,1133932.0,651723.0,337726.0,2462422.0,100215.0,780134.0,0.0,33613063.0
10453.0,BX,2203821.0,6362187.0,12501201.0,7581348.0,1289194.0,164398.0,146817.0,3522217.0,55000.0,178731.0,0.0,34004914.0
10454.0,BX,1257436.0,2082813.0,8937226.0,3931694.0,1164299.0,6653930.0,117132.0,1897198.0,45358.0,132763.0,0.0,26219849.0
10455.0,BX,1054927.0,3939495.0,6302763.0,5606712.0,1795756.0,1692469.0,237734.0,2511982.0,1084.0,243001.0,0.0,23385923.0
10456.0,BX,1738286.0,9307465.0,12022465.0,8952878.0,783467.0,755361.0,88353.0,5846812.0,3572.0,156220.0,0.0,39654879.0
10457.0,BX,2037000.0,7598025.0,9490117.0,7300000.0,1860501.0,1572066.0,345854.0,5771793.0,74600.0,481479.0,0.0,36531435.0
10458.0,BX,1768913.0,10796866.0,8462990.0,7928462.0,2664079.0,151370.0,104339.0,4473090.0,491176.0,640246.0,14694.0,37496225.0
10459.0,BX,1959187.0,5865315.0,4037667.0,6929659.0,1170368.0,284514.0,40218.0,2623185.0,3046.0,63220.0,0.0,22976379.0
10460.0,BX,2401704.0,6780201.0,7147700.0,6733806.0,868318.0,982412.0,208053.0,2496300.0,400250.0,279954.0,0.0,28298698.0
10461.0,BX,9574613.0,5400931.0,3774949.0,2889940.0,4248669.0,1014976.0,632974.0,8516123.0,31417.0,434517.0,0.0,36519109.0
10462.0,BX,5677512.0,4335091.0,12783688.0,7327981.0,1514558.0,1412536.0,98819.0,1893795.0,150619.0,1020058.0,0.0,36214657.0
10463.0,BX,2697150.0,3508201.0,21518908.0,4821163.0,1575622.0,401601.0,36798.0,3327140.0,92437.0,278842.0,0.0,38257862.0
10463.0,MN,330277.0,555727.0,1766184.0,272607.0,201653.0,316800.0,0.0,21389.0,0.0,0.0,0.0,3464637.0
10464.0,BX,1882881.0,442522.0,160013.0,299850.0,155698.0,62200.0,5005.0,284437.0,377179.0,272.0,0.0,3670057.0
10465.0,BX,12581530.0,2627964.0,2193893.0,413863.0,1060973.0,675310.0,20635.0,2138603.0,116836.0,24045.0,0.0,21853652.0
10466.0,BX,12246625.0,6823635.0,4356543.0,1283566.0,1029603.0,727761.0,303096.0,3006207.0,1580.0,312868.0,0.0,30091484.0
10467.0,BX,4916432.0,10341226.0,17213089.0,6657412.0,1522657.0,184574.0,98237.0,5147586.0,21451.0,442336.0,0.0,46545000.0
10468.0,BX,1298948.0,8653383.0,11244645.0,6301588.0,1012039.0,277589.0,101443.0,6826870.0,7595.0,501968.0,0.0,36226068.0
10469.0,BX,17704862.0,5063929.0,1282839.0,1656018.0,1401101.0,544922.0,433564.0,2645800.0,44215.0,31263.0,0.0,30808513.0
10470.0,BX,3344850.0,1590168.0,1247284.0,1019283.0,417864.0,502195.0,50507.0,521308.0,78499.0,15734.0,0.0,8787692.0
10471.0,BX,4563732.0,989991.0,6993984.0,613117.0,310476.0,0.0,3162.0,3473810.0,64330.0,1232.0,0.0,17013834.0
10472.0,BX,4212620.0,8808306.0,5721320.0,3057815.0,892436.0,476616.0,56476.0,1825749.0,5588.0,41177.0,0.0,25098103.0
10473.0,BX,6659932.0,3533970.0,11309586.0,2064478.0,1201784.0,950220.0,307569.0,2788724.0,4142.0,275624.0,0.0,29096029.0
10474.0,BX,508166.0,1596295.0,789409.0,1109443.0,553033.0,7472345.0,455739.0,950933.0,800.0,316329.0,0.0,13752492.0
10475.0,BX,657398.0,329838.0,20006091.0,206556.0,4037371.0,738722.0,200923.0,2097166.0,0.0,1770618.0,0.0,30044683.0
11001.0,QN,1685317.0,101580.0,0.0,26440.0,52130.0,0.0,7473.0,36500.0,0.0,0.0,0.0,1909440.0
11004.0,QN,3366610.0,1818592.0,42442.0,82999.0,416807.0,0.0,1616.0,2729655.0,1206.0,5073.0,3031.0,8468031.0
11005.0,QN,0.0,0.0,3750565.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3750565.0
11040.0,QN,821752.0,287826.0,0.0,23054.0,66125.0,0.0,2700.0,190431.0,0.0,0.0,0.0,1391888.0
11096.0,QN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11101.0,QN,973023.0,5025321.0,15995072.0,16294628.0,16090767.0,22152026.0,1542381.0,4774961.0,60772.0,4312416.0,0.0,87221367.0
11102.0,QN,1892315.0,5644083.0,4590312.0,3207008.0,466733.0,673928.0,37885.0,1154382.0,150.0,22098.0,0.0,17688894.0
11103.0,QN,2886629.0,8732075.0,670249.0,3062987.0,1249804.0,585815.0,37743.0,853962.0,181917.0,71649.0,0.0,18332830.0
11104.0,QN,1551046.0,2863849.0,5333649.0,1618009.0,477387.0,360333.0,48824.0,367056.0,700.0,94506.0,0.0,12715359.0
11105.0,QN,6036939.0,6171601.0,300729.0,3132699.0,915177.0,2558293.0,87859.0,1015376.0,52470.0,209362.0,0.0,20480505.0
11106.0,QN,2140733.0,5987310.0,5981436.0,3067006.0,1820287.0,2091941.0,149665.0,2054763.0,1800.0,145206.0,0.0,23440147.0
11109.0,QN,0.0,0.0,1705496.0,2031122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3736618.0
11201.0,BK,3058872.0,5881685.0,41968373.0,25234429.0,22343325.0,1152917.0,4153730.0,11155729.0,516665.0,236873.0,113700.0,115816298.0
11203.0,BK,14155476.0,7324789.0,3651610.0,3487207.0,1029930.0,946906.0,339939.0,8286089.0,62513.0,607278.0,0.0,39891737.0
11204.0,BK,13331960.0,10307342.0,3396160.0,4245053.0,970785.0,412062.0,130752.0,4110411.0,39834.0,18996.0,0.0,36963355.0
11205.0,BK,1877386.0,5715482.0,7268033.0,5752716.0,1133178.0,3872358.0,241321.0,3978181.0,4005.0,64166.0,0.0,29906826.0
11206.0,BK,2264241.0,9912101.0,12851429.0,10141483.0,1587155.0,4766908.0,167089.0,5549294.0,8473.0,19163.0,0.0,47267336.0
11207.0,BK,11962867.0,10804717.0,6120210.0,5293910.0,1439841.0,4484308.0,911507.0,5352210.0,59503.0,236112.0,0.0,46665185.0
11208.0,BK,13183204.0,8104613.0,4659148.0,3907283.0,861300.0,3264492.0,727648.0,3931813.0,35490.0,217260.0,0.0,38892251.0
11208.0,QN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11209.0,BK,12353215.0,5836482.0,10492917.0,6953851.0,1275477.0,28600.0,169494.0,4166220.0,66572.0,103098.0,0.0,41445926.0
11210.0,BK,14121558.0,2589933.0,9094369.0,2489547.0,1576546.0,508507.0,82703.0,4357640.0,580.0,33625.0,0.0,34855008.0
11211.0,BK,2079615.0,11475167.0,7312856.0,10081614.0,1722362.0,2727434.0,121267.0,2548296.0,37886.0,249953.0,0.0,38356450.0
11212.0,BK,5291873.0,10982985.0,12068552.0,4897824.0,1333348.0,937626.0,186786.0,4856295.0,89965.0,322556.0,0.0,40967810.0
11213.0,BK,7045872.0,10711875.0,7489577.0,4200594.0,334387.0,448332.0,73500.0,3872363.0,50536.0,26751.0,0.0,34253787.0
11214.0,BK,9626052.0,13971857.0,6445789.0,4221299.0,2103312.0,399559.0,421268.0,2901713.0,26303.0,62997.0,0.0,40180149.0
11215.0,BK,9487571.0,15516651.0,3558770.0,6537679.0,1762330.0,3240021.0,237228.0,3853346.0,9274.0,332085.0,0.0,44534955.0
11216.0,BK,6048954.0,13239374.0,3637073.0,4433517.0,1301204.0,396305.0,82008.0,3070914.0,32026.0,72836.0,0.0,32314211.0
11217.0,BK,3917618.0,6821338.0,4011139.0,7871526.0,4720771.0,1176015.0,71611.0,3553268.0,2752.0,168250.0,0.0,32314288.0
11218.0,BK,8562086.0,7606398.0,10213178.0,3318555.0,1392890.0,851129.0,213677.0,2323529.0,22455.0,116125.0,0.0,34620022.0
11219.0,BK,8908760.0,14588305.0,3547139.0,6985259.0,1645035.0,890523.0,197442.0,4850231.0,4100.0,252675.0,0.0,41869469.0
11220.0,BK,9870326.0,10927695.0,2671578.0,7462285.0,2058576.0,3266996.0,5578923.0,3342004.0,324647.0,165207.0,0.0,45668237.0
11221.0,BK,10019202.0,15551880.0,6224737.0,4363774.0,683034.0,399465.0,27437.0,4589263.0,1880.0,175027.0,31323.0,42067022.0
11222.0,BK,2462715.0,10543461.0,1853627.0,6185840.0,2135351.0,7788458.0,785941.0,1007812.0,134136.0,150155.0,8593.0,33056089.0
11223.0,BK,14204363.0,6739994.0,7069162.0,4083731.0,1594921.0,455606.0,107742.0,2665272.0,18501.0,99030.0,0.0,37038322.0
11224.0,BK,3120488.0,1303375.0,12836844.0,4901175.0,1167435.0,556315.0,200193.0,1652925.0,451049.0,208621.0,0.0,26398420.0
11225.0,BK,5411588.0,9729460.0,13725051.0,6031297.0,612378.0,378314.0,83900.0,2459087.0,67081.0,22350.0,0.0,38520506.0
11226.0,BK,5567375.0,9910554.0,20687853.0,6693249.0,2109233.0,169818.0,53260.0,2604127.0,39048.0,121656.0,0.0,47956173.0
11228.0,BK,11401411.0,4588737.0,124632.0,1694496.0,350439.0,11041.0,12236.0,1390668.0,18370.0,4910.0,0.0,19596940.0
11229.0,BK,16884295.0,3434895.0,12929261.0,3268290.0,1939033.0,10820.0,55288.0,2132871.0,26984.0,92585.0,0.0,40774322.0
11230.0,BK,12911805.0,5954669.0,14826287.0,4500156.0,1335010.0,463788.0,172768.0,3097841.0,37962.0,25510.0,0.0,43325796.0
11231.0,BK,2823907.0,9062499.0,3441589.0,3574495.0,1071356.0,4826450.0,229645.0,1211586.0,140039.0,1081139.0,0.0,27462705.0
11232.0,BK,1807523.0,4346954.0,342146.0,1958554.0,2191505.0,13215871.0,6306381.0,2031142.0,183159.0,44298.0,0.0,32427533.0
11233.0,BK,8076525.0,13606656.0,3210973.0,4240690.0,426066.0,469903.0,118957.0,3412607.0,14862.0,151603.0,0.0,33728842.0
11234.0,BK,29910388.0,4083294.0,2580907.0,1508309.0,5139111.0,870372.0,571026.0,25568115.0,109227.0,257461.0,0.0,70598210.0
11235.0,BK,10357960.0,5170942.0,18131734.0,5796069.0,2919519.0,273203.0,113262.0,4799887.0,136046.0,168840.0,0.0,47867462.0
11236.0,BK,22556099.0,6204822.0,3082501.0,757370.0,1794121.0,3821690.0,760316.0,3212137.0,1765228.0,213184.0,5000.0,44172468.0
11237.0,BK,2085705.0,9684945.0,1007711.0,3832253.0,1043206.0,5043710.0,323689.0,1655131.0,864.0,76777.0,0.0,24753991.0
11238.0,BK,3799435.0,11672280.0,8865378.0,5593551.0,1487914.0,989736.0,173292.0,3731576.0,2125.0,267562.0,12356.0,36595205.0
11239.0,BK,901767.0,335646.0,7459139.0,1753500.0,1371277.0,0.0,0.0,1091861.0,5902.0,1459397.0,0.0,14378489.0
11241.0,BK,0.0,0.0,0.0,0.0,290440.0,0.0,0.0,0.0,0.0,0.0,0.0,290440.0
11249.0,BK,446091.0,3550056.0,5457554.0,11342240.0,2432439.0,1981237.0,161292.0,1190851.0,19647.0,147470.0,0.0,26728877.0
11251.0,BK,0.0,0.0,0.0,0.0,0.0,0.0,7064736.0,0.0,0.0,0.0,0.0,7064736.0
11354.0,QN,5647980.0,88304883.0,10835777.0,7403668.0,7690121.0,2916402.0,436500.0,3426890.0,70112.0,649572.0,0.0,127381905.0
11355.0,QN,9337301.0,3389889.0,10671067.0,9591384.0,2136020.0,572382.0,39730.0,2856341.0,63262.0,200606.0,960.0,38858942.0
11356.0,QN,6975020.0,2016396.0,132000.0,708442.0,1275068.0,3108868.0,87197.0,464892.0,111206.0,31509.0,0.0,14910598.0
11357.0,QN,16332729.0,3115685.0,2357484.0,412198.0,1627052.0,505791.0,55272.0,1615641.0,22360.0,16412.0,0.0,26060624.0
11358.0,QN,12844586.0,3068739.0,443642.0,1538749.0,1022232.0,74365.0,206055.0,1017693.0,21043.0,8360.0,0.0,20245464.0
11359.0,QN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421996.0,0.0,0.0,0.0,421996.0
