,"ZIP
code",Adjusted Gross Income,Number of returns,Single Returns,Joint Returns,Head of Household Returns,Elderly Returns (60+)
115,10016.0,"$50,000 - $74,999",5000,4470,260,170,630
116,10016.0,"$75,000 -  $99,999",4090,3580,310,90,610
117,10016.0,"$100,000 - $199,999",7280,5590,1290,180,1220
118,10016.0,"$200,000+",6650,2950,3340,170,1290
119,,,,,,,
120,10017.0,total,"12,150","8,250","2,950",400,"2,950"
121,10017.0,"< $25,000",1750,1490,110,50,500
122,10017.0,"$25,000 - $49,999",1390,1180,100,50,310
123,10017.0,"$50,000 - $74,999",1450,1220,110,60,280
124,10017.0,"$75,000 -  $99,999",1250,1040,120,50,240
125,10017.0,"$100,000 - $199,999",2780,2000,580,80,600
126,10017.0,"$200,000+",3530,1320,1930,110,1020
127,,,,,,,
128,10018.0,total,"6,830","4,830","1,300",430,920
129,10018.0,"< $25,000",1470,1190,120,110,270
130,10018.0,"$25,000 - $49,999",1050,780,110,120,110
131,10018.0,"$50,000 - $74,999",860,690,70,70,80
132,10018.0,"$75,000 -  $99,999",590,480,50,30,40
133,10018.0,"$100,000 - $199,999",1270,960,220,40,120
134,10018.0,"$200,000+",1590,730,730,60,300
135,,,,,,,
136,10019.0,total,"25,750","18,350","5,160","1,430","4,680"
137,10019.0,"< $25,000",4900,3910,440,390,1260
138,10019.0,"$25,000 - $49,999",3690,2810,380,390,610
139,10019.0,"$50,000 - $74,999",3480,2830,330,200,520
140,10019.0,"$75,000 -  $99,999",2610,2100,300,120,420
141,10019.0,"$100,000 - $199,999",5620,4150,1120,190,850
142,10019.0,"$200,000+",5450,2550,2590,140,1020
143,,,,,,,
144,10021.0,total,"23,350","15,060","6,660",770,"7,340"
145,10021.0,"< $25,000",3230,2860,160,90,960
146,10021.0,"$25,000 - $49,999",2420,2090,160,80,620
147,10021.0,"$50,000 - $74,999",3040,2580,220,110,710
148,10021.0,"$75,000 -  $99,999",2470,2030,260,80,650
149,10021.0,"$100,000 - $199,999",4940,3280,1260,210,1660
150,10021.0,"$200,000+",7250,2220,4600,200,2740
151,,,,,,,
152,10022.0,total,"20,230","13,200","5,570",650,"6,560"
153,10022.0,"< $25,000",2760,2380,180,90,870
154,10022.0,"$25,000 - $49,999",2050,1740,140,90,570
155,10022.0,"$50,000 - $74,999",2410,2040,220,60,610
156,10022.0,"$75,000 -  $99,999",2010,1620,230,80,550
157,10022.0,"$100,000 - $199,999",4530,3120,1070,150,1490
