,"ZIP
code",Adjusted Gross Income,Number of returns,Single Returns,Joint Returns,Head of Household Returns,Elderly Returns (60+)
1729,11030.0,"< $25,000",1830,1630,120,60,270
1730,11030.0,"$25,000 - $49,999",780,540,150,70,170
1731,11030.0,"$50,000 - $74,999",680,450,150,50,180
1732,11030.0,"$75,000 -  $99,999",540,300,190,30,230
1733,11030.0,"$100,000 - $199,999",1410,480,800,80,670
1734,11030.0,"$200,000+",3430,280,3020,90,1220
1735,,,,,,,
1736,11040.0,total,"21,640","9,740","9,870","1,550","6,460"
1737,11040.0,"< $25,000",5450,4220,840,310,1310
1738,11040.0,"$25,000 - $49,999",3400,2020,920,380,910
1739,11040.0,"$50,000 - $74,999",2750,1510,880,270,870
1740,11040.0,"$75,000 -  $99,999",2220,880,1030,230,810
1741,11040.0,"$100,000 - $199,999",5280,920,3930,310,1810
1742,11040.0,"$200,000+",2540,190,2270,50,750
1743,,,,,,,
1744,11050.0,total,"15,210","7,060","6,610","1,200","4,780"
1745,11050.0,"< $25,000",3940,3160,370,340,810
1746,11050.0,"$25,000 - $49,999",2120,1270,490,300,560
1747,11050.0,"$50,000 - $74,999",1530,890,430,160,510
1748,11050.0,"$75,000 -  $99,999",1200,590,450,120,460
1749,11050.0,"$100,000 - $199,999",2790,800,1720,200,1250
1750,11050.0,"$200,000+",3630,350,3150,80,1190
1751,,,,,,,
1752,11096.0,total,"4,010","1,970",980,980,630
1753,11096.0,"< $25,000",1810,1170,220,410,250
1754,11096.0,"$25,000 - $49,999",1040,450,250,310,140
1755,11096.0,"$50,000 - $74,999",510,200,150,140,90
1756,11096.0,"$75,000 -  $99,999",300,90,130,70,70
1757,11096.0,"$100,000 - $199,999",300,60,190,50,80
1758,11096.0,"$200,000+",50,** ,40,** ,** 
1759,,,,,,,
1760,11101.0,total,"20,950","13,050","4,750","2,550","1,850"
1761,11101.0,"< $25,000",5940,3970,760,1080,870
1762,11101.0,"$25,000 - $49,999",3870,2390,580,810,340
1763,11101.0,"$50,000 - $74,999",3160,2280,430,310,250
1764,11101.0,"$75,000 -  $99,999",2170,1540,400,140,140
1765,11101.0,"$100,000 - $199,999",3790,2270,1250,160,170
1766,11101.0,"$200,000+",2020,600,1330,50,80
1767,,,,,,,
1768,11102.0,total,"19,370","12,130","4,360","2,310","2,500"
1769,11102.0,"< $25,000",6520,4340,1020,1000,1140
1770,11102.0,"$25,000 - $49,999",4480,2860,820,670,510
1771,11102.0,"$50,000 - $74,999",3330,2300,590,330,330
1772,11102.0,"$75,000 -  $99,999",2030,1370,430,150,190
1773,11102.0,"$100,000 - $199,999",2450,1130,1100,140,270
1774,11102.0,"$200,000+",560,130,400,20,60
1775,,,,,,,
1776,11103.0,total,"20,860","13,700","4,870","1,790","2,860"
1777,11103.0,"< $25,000",6800,4820,1160,670,1220
1778,11103.0,"$25,000 - $49,999",4970,3380,960,510,570
1779,11103.0,"$50,000 - $74,999",4110,2950,710,340,450
1780,11103.0,"$75,000 -  $99,999",2180,1370,610,150,290
1781,11103.0,"$100,000 - $199,999",2320,1060,1090,120,270
1782,11103.0,"$200,000+",480,120,340,** ,60
1783,,,,,,,
1784,11104.0,total,"15,170","8,820","4,380","1,530","2,720"
1785,11104.0,"< $25,000",5050,3410,960,560,1150
1786,11104.0,"$25,000 - $49,999",3410,2000,880,440,520
1787,11104.0,"$50,000 - $74,999",2580,1630,550,290,370
1788,11104.0,"$75,000 -  $99,999",1670,920,550,120,290
1789,11104.0,"$100,000 - $199,999",1960,740,1070,120,320
1790,11104.0,"$200,000+",500,120,370,** ,70
1791,,,,,,,
1792,11105.0,total,"19,590","12,090","5,350","1,590","3,340"
1793,11105.0,"< $25,000",6110,4360,1120,480,1430
1794,11105.0,"$25,000 - $49,999",4440,2990,890,450,630
1795,11105.0,"$50,000 - $74,999",3580,2460,670,320,470
1796,11105.0,"$75,000 -  $99,999",2060,1200,600,160,300
1797,11105.0,"$100,000 - $199,999",2660,940,1500,150,390
1798,11105.0,"$200,000+",740,140,570,30,120
1799,,,,,,,
1800,11106.0,total,"22,030","13,970","5,070","2,450","3,420"
1801,11106.0,"< $25,000",7350,4950,1230,1020,1470
1802,11106.0,"$25,000 - $49,999",4970,3250,900,710,660
1803,11106.0,"$50,000 - $74,999",4020,2780,720,390,510
1804,11106.0,"$75,000 -  $99,999",2270,1480,540,170,300
1805,11106.0,"$100,000 - $199,999",2820,1360,1250,160,400
1806,11106.0,"$200,000+",600,150,430,** ,80
1807,,,,,,,
1808,11109.0,total,"3,590","2,180","1,130",130,220
1809,11109.0,"< $25,000",330,270,30,30,30
1810,11109.0,"$25,000 - $49,999",310,250,30,** ,30
1811,11109.0,"$50,000 - $74,999",400,340,30,30,** 
1812,11109.0,"$75,000 -  $99,999",390,320,40,** ,20
1813,11109.0,"$100,000 - $199,999",1080,700,280,40,70
1814,11109.0,"$200,000+",1080,300,720,30,70
1815,,,,,,,
1816,11201.0,total,"33,550","20,950","9,290","2,350","5,200"
1817,11201.0,"< $25,000",5920,4480,570,740,1120
1818,11201.0,"$25,000 - $49,999",4110,2980,440,570,680
1819,11201.0,"$50,000 - $74,999",4260,3410,380,320,640
1820,11201.0,"$75,000 -  $99,999",3560,2800,420,200,540
1821,11201.0,"$100,000 - $199,999",7880,5110,2210,290,1180
1822,11201.0,"$200,000+",7820,2170,5270,230,1040
1823,,,,,,,
1824,11203.0,total,"38,170","19,000","5,390","12,800","8,850"
1825,11203.0,"< $25,000",15290,9790,1200,4040,3470
1826,11203.0,"$25,000 - $49,999",11470,5130,1310,4720,2460
1827,11203.0,"$50,000 - $74,999",5910,2400,950,2330,1410
1828,11203.0,"$75,000 -  $99,999",2790,990,740,970,700
1829,11203.0,"$100,000 - $199,999",2480,650,1040,710,740
1830,11203.0,"$200,000+",230,40,150,30,70
1831,,,,,,,
1832,11204.0,total,"33,780","14,440","14,620","4,170","6,740"
1833,11204.0,"< $25,000",16290,8520,5470,2060,3270
1834,11204.0,"$25,000 - $49,999",8160,3020,3830,1170,1290
1835,11204.0,"$50,000 - $74,999",3660,1610,1470,500,750
1836,11204.0,"$75,000 -  $99,999",2030,660,1090,230,480
1837,11204.0,"$100,000 - $199,999",2710,530,1950,210,670
1838,11204.0,"$200,000+",930,100,810,** ,280
1839,,,,,,,
1840,11205.0,total,"19,260","10,850","4,830","3,150","2,050"
1841,11205.0,"< $25,000",6840,3990,1490,1250,740
1842,11205.0,"$25,000 - $49,999",4300,2440,810,950,450
1843,11205.0,"$50,000 - $74,999",2790,1870,380,480,310
1844,11205.0,"$75,000 -  $99,999",1680,1070,350,200,220
1845,11205.0,"$100,000 - $199,999",2490,1220,960,220,250
1846,11205.0,"$200,000+",1160,260,840,50,80
1847,,,,,,,
1848,11206.0,total,"37,300","21,940","6,610","8,170","3,540"
1849,11206.0,"< $25,000",16770,9940,2760,3850,1930
1850,11206.0,"$25,000 - $49,999",10480,5940,1600,2790,850
1851,11206.0,"$50,000 - $74,999",5280,3430,780,970,430
1852,11206.0,"$75,000 -  $99,999",2240,1400,450,340,170
1853,11206.0,"$100,000 - $199,999",2090,1090,740,220,130
1854,11206.0,"$200,000+",440,140,280,** ,30
1855,,,,,,,
1856,11207.0,total,"44,570","22,980","5,120","15,720","5,950"
1857,11207.0,"< $25,000",21730,13130,1500,6840,2730
1858,11207.0,"$25,000 - $49,999",13080,6030,1430,5410,1570
1859,11207.0,"$50,000 - $74,999",5470,2360,820,2140,870
1860,11207.0,"$75,000 -  $99,999",2250,820,570,790,380
1861,11207.0,"$100,000 - $199,999",1880,590,710,540,360
1862,11207.0,"$200,000+",160,50,90,** ,40
1863,,,,,,,
1864,11208.0,total,"44,930","21,070","7,490","15,670","5,920"
1865,11208.0,"< $25,000",23050,13090,2810,6890,2940
1866,11208.0,"$25,000 - $49,999",12990,5150,2140,5470,1500
1867,11208.0,"$50,000 - $74,999",5220,1840,1140,2100,820
1868,11208.0,"$75,000 -  $99,999",2020,620,620,730,350
1869,11208.0,"$100,000 - $199,999",1560,370,720,480,310
1870,11208.0,"$200,000+",90,** ,60,** ,** 
1871,,,,,,,
1872,11209.0,total,"34,340","18,770","10,920","3,710","8,270"
1873,11209.0,"< $25,000",10630,7170,2130,1110,2490
1874,11209.0,"$25,000 - $49,999",6540,3860,1570,940,1380
1875,11209.0,"$50,000 - $74,999",5430,3370,1200,680,1250
1876,11209.0,"$75,000 -  $99,999",3930,2100,1220,430,940
1877,11209.0,"$100,000 - $199,999",5700,1940,3130,470,1600
1878,11209.0,"$200,000+",2110,330,1670,80,610
1879,,,,,,,
1880,11210.0,total,"29,650","14,000","6,860","7,980","6,730"
1881,11210.0,"< $25,000",11050,7110,1180,2540,2180
1882,11210.0,"$25,000 - $49,999",7790,3450,1280,2830,1480
1883,11210.0,"$50,000 - $74,999",4330,1830,910,1430,1070
1884,11210.0,"$75,000 -  $99,999",2340,820,750,680,610
1885,11210.0,"$100,000 - $199,999",2840,690,1600,460,930
1886,11210.0,"$200,000+",1300,100,1140,40,460
1887,,,,,,,
1888,11211.0,total,"31,170","20,540","6,940","3,060","2,720"
1889,11211.0,"< $25,000",9730,5930,2400,1260,1390
1890,11211.0,"$25,000 - $49,999",6540,4290,1110,1010,510
1891,11211.0,"$50,000 - $74,999",5110,3970,580,430,300
1892,11211.0,"$75,000 -  $99,999",3210,2500,450,160,170
1893,11211.0,"$100,000 - $199,999",4520,3000,1280,140,250
1894,11211.0,"$200,000+",2060,850,1120,60,100
1895,,,,,,,
1896,11212.0,total,"38,960","18,680","3,960","15,540","6,010"
1897,11212.0,"< $25,000",19850,11410,1170,6990,2760
1898,11212.0,"$25,000 - $49,999",11380,4660,1150,5330,1700
1899,11212.0,"$50,000 - $74,999",4650,1720,730,2050,860
1900,11212.0,"$75,000 -  $99,999",1770,560,420,720,380
1901,11212.0,"$100,000 - $199,999",1240,330,460,430,280
1902,11212.0,"$200,000+",70,** ,30,20,30
1903,,,,,,,
1904,11213.0,total,"30,170","16,520","4,550","8,480","4,620"
1905,11213.0,"< $25,000",13170,8380,1230,3370,2020
1906,11213.0,"$25,000 - $49,999",8650,4470,1070,2930,1140
1907,11213.0,"$50,000 - $74,999",4380,2260,680,1310,670
1908,11213.0,"$75,000 -  $99,999",1920,830,510,520,350
1909,11213.0,"$100,000 - $199,999",1700,520,790,350,370
1910,11213.0,"$200,000+",350,60,270,** ,70
1911,,,,,,,
1912,11214.0,total,"41,290","19,170","15,480","5,890","8,520"
1913,11214.0,"< $25,000",19350,10790,5710,2570,4230
1914,11214.0,"$25,000 - $49,999",9930,4060,3940,1750,1630
1915,11214.0,"$50,000 - $74,999",4980,2260,1800,790,1060
1916,11214.0,"$75,000 -  $99,999",2890,1110,1280,430,670
1917,11214.0,"$100,000 - $199,999",3440,850,2200,320,750
1918,11214.0,"$200,000+",700,100,550,30,180
1919,,,,,,,
1920,11215.0,total,"33,120","18,890","10,820","2,400","5,200"
1921,11215.0,"< $25,000",6080,4910,540,520,1080
1922,11215.0,"$25,000 - $49,999",5150,3930,560,520,700
1923,11215.0,"$50,000 - $74,999",5110,3880,600,410,670
1924,11215.0,"$75,000 -  $99,999",3700,2450,750,280,580
1925,11215.0,"$100,000 - $199,999",7110,2930,3480,460,1260
1926,11215.0,"$200,000+",5970,790,4890,210,910
1927,,,,,,,
1928,11216.0,total,"29,770","20,400","3,160","5,580","3,270"
1929,11216.0,"< $25,000",10040,7320,580,1980,1450
1930,11216.0,"$25,000 - $49,999",8130,5710,480,1800,810
1931,11216.0,"$50,000 - $74,999",5460,3940,350,1000,520
1932,11216.0,"$75,000 -  $99,999",2680,1800,360,440,230
1933,11216.0,"$100,000 - $199,999",2630,1400,840,320,210
1934,11216.0,"$200,000+",830,230,550,40,50
1935,,,,,,,
1936,11217.0,total,"20,720","13,470","4,560","2,170","2,570"
1937,11217.0,"< $25,000",4380,3360,280,670,670
1938,11217.0,"$25,000 - $49,999",3480,2450,270,680,440
1939,11217.0,"$50,000 - $74,999",3150,2460,240,350,350
1940,11217.0,"$75,000 -  $99,999",2290,1740,300,160,240
1941,11217.0,"$100,000 - $199,999",4180,2580,1270,200,520
1942,11217.0,"$200,000+",3240,880,2200,110,350
1943,,,,,,,
1944,11218.0,total,"33,210","16,280","11,910","4,280","5,880"
1945,11218.0,"< $25,000",12800,7590,3350,1660,2080
1946,11218.0,"$25,000 - $49,999",7540,3620,2520,1240,1110
1947,11218.0,"$50,000 - $74,999",4350,2360,1220,620,850
1948,11218.0,"$75,000 -  $99,999",2800,1310,1010,360,620
1949,11218.0,"$100,000 - $199,999",4160,1200,2520,340,910
1950,11218.0,"$200,000+",1560,200,1290,60,310
1951,,,,,,,
1952,11219.0,total,"33,810","12,390","17,280","3,730","5,580"
1953,11219.0,"< $25,000",19430,8350,8660,2220,2960
1954,11219.0,"$25,000 - $49,999",7620,2130,4480,910,900
1955,11219.0,"$50,000 - $74,999",2810,1070,1330,350,540
1956,11219.0,"$75,000 -  $99,999",1370,430,800,120,350
1957,11219.0,"$100,000 - $199,999",1830,340,1350,130,520
1958,11219.0,"$200,000+",750,70,660,** ,310
1959,,,,,,,
1960,11220.0,total,"54,260","26,370","19,240","7,970","7,190"
1961,11220.0,"< $25,000",35090,18730,11230,4830,4490
1962,11220.0,"$25,000 - $49,999",11070,4270,4650,2000,1190
1963,11220.0,"$50,000 - $74,999",3900,1950,1150,680,620
1964,11220.0,"$75,000 -  $99,999",1780,750,720,260,360
1965,11220.0,"$100,000 - $199,999",1950,580,1140,200,400
1966,11220.0,"$200,000+",470,90,350,** ,130
1967,,,,,,,
1968,11221.0,total,"41,130","26,230","4,520","9,670","3,960"
1969,11221.0,"< $25,000",16860,11680,1120,3860,1860
1970,11221.0,"$25,000 - $49,999",12410,7900,1040,3230,1010
1971,11221.0,"$50,000 - $74,999",6320,3980,680,1530,570
1972,11221.0,"$75,000 -  $99,999",2700,1490,510,620,260
1973,11221.0,"$100,000 - $199,999",2340,1040,840,400,230
1974,11221.0,"$200,000+",500,140,330,30,30
1975,,,,,,,
1976,11222.0,total,"22,830","15,910","4,860","1,440","2,630"
1977,11222.0,"< $25,000",5580,4380,600,470,1010
1978,11222.0,"$25,000 - $49,999",4870,3660,630,440,550
1979,11222.0,"$50,000 - $74,999",4430,3440,600,240,430
1980,11222.0,"$75,000 -  $99,999",2790,1980,600,120,250
1981,11222.0,"$100,000 - $199,999",3730,2010,1490,140,310
1982,11222.0,"$200,000+",1430,440,940,30,80
1983,,,,,,,
1984,11223.0,total,"33,330","15,360","12,580","4,780","6,960"
1985,11223.0,"< $25,000",15210,8680,4170,2150,3150
1986,11223.0,"$25,000 - $49,999",7850,3320,2960,1410,1310
1987,11223.0,"$50,000 - $74,999",3870,1730,1410,630,860
1988,11223.0,"$75,000 -  $99,999",2340,840,1110,320,580
1989,11223.0,"$100,000 - $199,999",2830,640,1900,240,740
1990,11223.0,"$200,000+",1230,150,1030,30,320
1991,,,,,,,
1992,11224.0,total,"20,270","10,450","4,520","4,850","5,510"
1993,11224.0,"< $25,000",9680,6010,1320,2160,2470
1994,11224.0,"$25,000 - $49,999",5000,2360,1010,1530,1270
1995,11224.0,"$50,000 - $74,999",2440,1120,600,640,710
1996,11224.0,"$75,000 -  $99,999",1290,470,510,260,460
1997,11224.0,"$100,000 - $199,999",1560,420,880,230,500
1998,11224.0,"$200,000+",300,70,200,30,100
1999,,,,,,,
2000,11225.0,total,"31,110","18,610","4,410","7,340","5,490"
2001,11225.0,"< $25,000",11250,7740,870,2470,2210
2002,11225.0,"$25,000 - $49,999",8880,5130,930,2580,1480
2003,11225.0,"$50,000 - $74,999",5370,3230,630,1330,900
2004,11225.0,"$75,000 -  $99,999",2560,1400,540,540,390
2005,11225.0,"$100,000 - $199,999",2420,990,980,380,420
2006,11225.0,"$200,000+",630,120,460,40,90
2007,,,,,,,
2008,11226.0,total,"52,880","28,850","7,270","15,610","9,050"
2009,11226.0,"< $25,000",22190,14190,1760,5900,3980
2010,11226.0,"$25,000 - $49,999",15830,7900,1770,5780,2490
2011,11226.0,"$50,000 - $74,999",7780,3970,1170,2410,1330
2012,11226.0,"$75,000 -  $99,999",3450,1580,840,910,600
2013,11226.0,"$100,000 - $199,999",2980,1080,1250,580,510
2014,11226.0,"$200,000+",650,130,480,30,140
2015,,,,,,,
2016,11228.0,total,"19,910","9,400","7,870","2,230","4,660"
2017,11228.0,"< $25,000",8150,4820,2320,870,1920
2018,11228.0,"$25,000 - $49,999",4080,1880,1550,570,780
2019,11228.0,"$50,000 - $74,999",2480,1310,770,330,610
2020,11228.0,"$75,000 -  $99,999",1670,700,700,220,450
2021,11228.0,"$100,000 - $199,999",2570,580,1720,210,650
2022,11228.0,"$200,000+",960,110,810,30,250
2023,,,,,,,
2024,11229.0,total,"37,000","17,390","13,640","5,230","9,110"
2025,11229.0,"< $25,000",14450,8770,3410,2020,3230
2026,11229.0,"$25,000 - $49,999",8290,3860,2750,1500,1780
2027,11229.0,"$50,000 - $74,999",4960,2330,1680,810,1270
2028,11229.0,"$75,000 -  $99,999",3190,1200,1470,440,920
2029,11229.0,"$100,000 - $199,999",4630,1070,3070,410,1440
2030,11229.0,"$200,000+",1480,160,1260,50,470
2031,,,,,,,
2032,11230.0,total,"36,130","16,790","13,620","4,970","7,880"
2033,11230.0,"< $25,000",14890,8950,3670,2010,2750
2034,11230.0,"$25,000 - $49,999",8550,3690,3080,1610,1460
2035,11230.0,"$50,000 - $74,999",4570,2040,1680,710,1040
2036,11230.0,"$75,000 -  $99,999",2740,1050,1280,330,760
2037,11230.0,"$100,000 - $199,999",3660,870,2450,260,1240
2038,11230.0,"$200,000+",1720,190,1460,50,630
2039,,,,,,,
2040,11231.0,total,"17,460","9,630","5,080","2,260","2,320"
2041,11231.0,"< $25,000",4260,2970,350,860,700
2042,11231.0,"$25,000 - $49,999",2910,1870,300,660,370
2043,11231.0,"$50,000 - $74,999",2330,1640,310,300,280
2044,11231.0,"$75,000 -  $99,999",1630,1090,310,160,210
2045,11231.0,"$100,000 - $199,999",3360,1550,1480,190,450
2046,11231.0,"$200,000+",2970,510,2330,90,310
2047,,,,,,,
2048,11232.0,total,"13,090","6,940","3,570","2,320","1,610"
2049,11232.0,"< $25,000",6170,3610,1370,1120,910
2050,11232.0,"$25,000 - $49,999",3240,1640,860,680,290
2051,11232.0,"$50,000 - $74,999",1670,940,370,300,180
2052,11232.0,"$75,000 -  $99,999",830,400,270,120,90
2053,11232.0,"$100,000 - $199,999",950,310,520,100,110
2054,11232.0,"$200,000+",230,40,180,** ,30
2055,,,,,,,
2056,11233.0,total,"32,850","18,180","3,330","10,660","4,190"
2057,11233.0,"< $25,000",13950,8900,780,4100,1760
2058,11233.0,"$25,000 - $49,999",9710,5140,700,3650,1120
2059,11233.0,"$50,000 - $74,999",4880,2480,530,1720,680
2060,11233.0,"$75,000 -  $99,999",2050,900,380,710,320
2061,11233.0,"$100,000 - $199,999",1860,670,670,450,280
2062,11233.0,"$200,000+",400,90,270,30,30
2063,,,,,,,
2064,11234.0,total,"43,010","20,320","11,530","9,950","11,120"
2065,11234.0,"< $25,000",13940,9410,1650,2610,3230
2066,11234.0,"$25,000 - $49,999",9820,4740,1750,3020,2250
2067,11234.0,"$50,000 - $74,999",6580,3020,1430,1910,1730
2068,11234.0,"$75,000 -  $99,999",4370,1570,1400,1210,1300
2069,11234.0,"$100,000 - $199,999",6530,1390,3840,1110,2030
2070,11234.0,"$200,000+",1770,190,1460,90,580
2071,,,,,,,
2072,11235.0,total,"39,680","19,680","13,140","5,840","10,780"
2073,11235.0,"< $25,000",16700,10480,3700,2160,4190
2074,11235.0,"$25,000 - $49,999",8600,4050,2680,1610,2090
2075,11235.0,"$50,000 - $74,999",5160,2450,1660,880,1550
2076,11235.0,"$75,000 -  $99,999",3230,1240,1340,540,1050
2077,11235.0,"$100,000 - $199,999",4460,1180,2620,560,1440
2078,11235.0,"$200,000+",1530,280,1140,90,460
2079,,,,,,,
2080,11236.0,total,"48,420","23,110","6,970","17,200","9,750"
2081,11236.0,"< $25,000",18350,11560,1370,5140,3420
2082,11236.0,"$25,000 - $49,999",14000,6220,1520,5900,2500
2083,11236.0,"$50,000 - $74,999",7530,2970,1100,3210,1610
2084,11236.0,"$75,000 -  $99,999",4100,1320,990,1660,970
2085,11236.0,"$100,000 - $199,999",4030,950,1720,1240,1110
2086,11236.0,"$200,000+",410,90,270,50,140
2087,,,,,,,
2088,11237.0,total,"23,930","15,590","3,520","4,460","1,710"
2089,11237.0,"< $25,000",10060,6860,1030,2070,950
2090,11237.0,"$25,000 - $49,999",7340,4670,1040,1520,400
2091,11237.0,"$50,000 - $74,999",3690,2490,600,540,210
2092,11237.0,"$75,000 -  $99,999",1480,900,320,210,70
2093,11237.0,"$100,000 - $199,999",1170,590,430,120,80
2094,11237.0,"$200,000+",190,80,100,** ,** 
2095,,,,,,,
2096,11238.0,total,"31,680","21,070","5,730","4,090","3,910"
2097,11238.0,"< $25,000",7500,5680,460,1240,1240
2098,11238.0,"$25,000 - $49,999",6420,4610,430,1230,820
2099,11238.0,"$50,000 - $74,999",5820,4460,420,760,620
2100,11238.0,"$75,000 -  $99,999",3650,2640,500,380,410
2101,11238.0,"$100,000 - $199,999",5290,2950,1800,380,580
2102,11238.0,"$200,000+",3000,730,2120,100,240
2103,,,,,,,
2104,11239.0,total,"7,470","3,810",690,"2,830","1,720"
2105,11239.0,"< $25,000",2850,1880,200,730,760
2106,11239.0,"$25,000 - $49,999",2250,1030,150,1020,460
2107,11239.0,"$50,000 - $74,999",1370,580,130,630,310
2108,11239.0,"$75,000 -  $99,999",600,220,90,280,110
2109,11239.0,"$100,000 - $199,999",400,100,120,170,80
2110,11239.0,"$200,000+",** ,** ,** ,** ,** 
2111,,,,,,,
2112,11354.0,total,"31,560","17,040","10,760","3,250","6,920"
2113,11354.0,"< $25,000",18410,11760,4710,1710,3630
2114,11354.0,"$25,000 - $49,999",5890,2530,2490,760,1150
2115,11354.0,"$50,000 - $74,999",2930,1370,1100,390,800
2116,11354.0,"$75,000 -  $99,999",1730,690,790,210,520
2117,11354.0,"$100,000 - $199,999",2090,600,1280,180,650
2118,11354.0,"$200,000+",510,90,390,** ,170
2119,,,,,,,
2120,11355.0,total,"52,130","27,660","18,480","5,250","9,630"
2121,11355.0,"< $25,000",35010,21160,10230,3230,5970
2122,11355.0,"$25,000 - $49,999",9190,3420,4510,1120,1480
2123,11355.0,"$50,000 - $74,999",3680,1670,1410,510,900
2124,11355.0,"$75,000 -  $99,999",1840,740,840,210,500
2125,11355.0,"$100,000 - $199,999",1970,580,1180,160,620
2126,11355.0,"$200,000+",440,90,310,20,160
2127,,,,,,,
2128,11356.0,total,"12,590","5,910","4,300","2,150","2,270"
2129,11356.0,"< $25,000",5870,3420,1400,960,1010
2130,11356.0,"$25,000 - $49,999",3010,1240,1100,590,460
2131,11356.0,"$50,000 - $74,999",1520,650,510,330,270
2132,11356.0,"$75,000 -  $99,999",900,320,410,150,210
2133,11356.0,"$100,000 - $199,999",1090,250,720,120,260
2134,11356.0,"$200,000+",200,30,160,** ,60
2135,,,,,,,
2136,11357.0,total,"20,170","9,710","8,220","1,840","6,420"
2137,11357.0,"< $25,000",6220,4260,1360,520,1860
2138,11357.0,"$25,000 - $49,999",3670,1900,1240,450,1070
2139,11357.0,"$50,000 - $74,999",2810,1500,920,310,940
2140,11357.0,"$75,000 -  $99,999",2170,920,940,240,760
2141,11357.0,"$100,000 - $199,999",3840,940,2550,280,1260
2142,11357.0,"$200,000+",1460,190,1210,40,530
2143,,,,,,,
2144,11358.0,total,"19,360","9,490","7,490","2,010","4,840"
2145,11358.0,"< $25,000",8150,5140,2030,870,1820
2146,11358.0,"$25,000 - $49,999",3940,1880,1500,480,780
2147,11358.0,"$50,000 - $74,999",2320,1180,770,300,600
2148,11358.0,"$75,000 -  $99,999",1530,610,720,160,500
2149,11358.0,"$100,000 - $199,999",2580,580,1770,170,860
2150,11358.0,"$200,000+",840,100,700,30,280
2151,,,,,,,
2152,11360.0,total,"10,140","5,290","3,760",810,"4,170"
2153,11360.0,"< $25,000",2670,1880,540,200,1020
2154,11360.0,"$25,000 - $49,999",1580,920,450,170,600
2155,11360.0,"$50,000 - $74,999",1380,820,380,130,570
2156,11360.0,"$75,000 -  $99,999",1200,610,410,120,540
2157,11360.0,"$100,000 - $199,999",2330,840,1260,160,1040
2158,11360.0,"$200,000+",980,220,720,30,400
2159,,,,,,,
2160,11361.0,total,"13,970","6,810","5,360","1,510","3,600"
2161,11361.0,"< $25,000",4810,3130,1100,510,1200
2162,11361.0,"$25,000 - $49,999",2830,1380,1010,390,600
2163,11361.0,"$50,000 - $74,999",1880,1020,560,240,470
2164,11361.0,"$75,000 -  $99,999",1390,600,560,180,420
2165,11361.0,"$100,000 - $199,999",2320,590,1500,190,690
2166,11361.0,"$200,000+",740,90,630,** ,220
2167,,,,,,,
2168,11362.0,total,"8,980","4,330","3,750",720,"3,120"
2169,11362.0,"< $25,000",2640,1830,580,190,880
2170,11362.0,"$25,000 - $49,999",1510,800,520,160,460
2171,11362.0,"$50,000 - $74,999",1270,680,420,140,420
2172,11362.0,"$75,000 -  $99,999",1030,450,460,90,410
2173,11362.0,"$100,000 - $199,999",1830,490,1180,120,680
2174,11362.0,"$200,000+",700,80,590,20,270
2175,,,,,,,
2176,11363.0,total,"3,480","1,670","1,460",270,"1,200"
2177,11363.0,"< $25,000",990,730,170,70,270
2178,11363.0,"$25,000 - $49,999",520,280,170,60,140
2179,11363.0,"$50,000 - $74,999",460,250,140,50,160
2180,11363.0,"$75,000 -  $99,999",350,160,150,40,140
2181,11363.0,"$100,000 - $199,999",650,190,400,50,280
2182,11363.0,"$200,000+",510,60,430,** ,210
2183,,,,,,,
2184,11364.0,total,"17,950","8,400","7,350","1,790","5,250"
2185,11364.0,"< $25,000",5950,3750,1520,580,1680
2186,11364.0,"$25,000 - $49,999",3470,1630,1360,400,860
2187,11364.0,"$50,000 - $74,999",2590,1310,880,330,810
2188,11364.0,"$75,000 -  $99,999",1890,790,820,220,570
2189,11364.0,"$100,000 - $199,999",3120,800,2010,230,1010
2190,11364.0,"$200,000+",930,120,760,30,320
2191,,,,,,,
2192,11365.0,total,"21,610","10,150","7,960","3,090","5,130"
2193,11365.0,"< $25,000",8560,5220,2100,1110,1880
2194,11365.0,"$25,000 - $49,999",4700,2060,1730,810,850
2195,11365.0,"$50,000 - $74,999",2930,1370,950,540,730
2196,11365.0,"$75,000 -  $99,999",1910,760,800,310,530
2197,11365.0,"$100,000 - $199,999",2840,670,1820,290,890
2198,11365.0,"$200,000+",670,70,560,30,250
2199,,,,,,,
2200,11366.0,total,"6,740","3,090","2,730",800,"1,900"
2201,11366.0,"< $25,000",2390,1550,530,270,600
2202,11366.0,"$25,000 - $49,999",1340,600,510,210,300
2203,11366.0,"$50,000 - $74,999",880,450,300,120,240
2204,11366.0,"$75,000 -  $99,999",620,210,280,100,180
2205,11366.0,"$100,000 - $199,999",1090,230,750,100,410
2206,11366.0,"$200,000+",420,50,360,** ,170
2207,,,,,,,
2208,11367.0,total,"19,000","8,800","7,110","2,710","4,510"
2209,11367.0,"< $25,000",7850,4640,1980,1110,1780
2210,11367.0,"$25,000 - $49,999",4120,1820,1470,750,780
2211,11367.0,"$50,000 - $74,999",2590,1160,920,420,610
2212,11367.0,"$75,000 -  $99,999",1600,580,740,230,410
2213,11367.0,"$100,000 - $199,999",2160,500,1430,200,670
2214,11367.0,"$200,000+",680,100,570,** ,260
2215,,,,,,,
2216,11368.0,total,"48,680","22,710","12,470","12,750","6,180"
2217,11368.0,"< $25,000",26730,14830,4960,6580,3350
2218,11368.0,"$25,000 - $49,999",13070,4910,4020,3930,1380
